commonName,lat,lon,NbDocks
"River Street , Clerkenwell",51.529163,-0.10997,19
"Christopher Street, Liverpool Street",51.521283,-0.084605,32
"St. Chad's Street, King's Cross",51.530059,-0.120973,23
"Sedding Street, Sloane Square",51.49313,-0.156876,27
"Broadcasting House, Marylebone",51.518117,-0.144228,18
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16
"New Globe Walk, Bankside",51.507385,-0.09644,19
"Park Street, Bankside",51.505974,-0.092754,18
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24
"Malet Street, Bloomsbury",51.52168,-0.130431,49
"Scala Street, Fitzrovia",51.519914,-0.136039,21
"Argyle Street, Kings Cross",51.529416,-0.123944,45
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21
"Hatton Wall, Holborn",51.521661,-0.109006,26
"Drury Lane, Covent Garden",51.51477,-0.122219,27
"Taviton Street, Bloomsbury",51.52505,-0.131161,30
"Drummond Street , Euston",51.527326,-0.136052,28
"Northington Street , Holborn",51.522264,-0.114079,19
"Red Lion Square, Holborn",51.519435,-0.119123,16
"British Museum, Bloomsbury",51.51908,-0.124678,35
"Doric Way , Somers Town",51.528833,-0.13225,50
"Ampton Street , Clerkenwell",51.52728,-0.118295,21
"Bouverie Street, Temple",51.513821,-0.107927,33
"Bolsover Street, Fitzrovia",51.523518,-0.143613,19
"Windsor Terrace, Hoxton",51.529154,-0.093421,24
"Fanshaw Street, Hoxton",51.529537,-0.083353,36
"Leonard Circus , Shoreditch",51.524696,-0.084439,43
"Central House, Aldgate",51.515231,-0.07015,18
"Pancras Road, King's Cross",51.534123,-0.129386,16
"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41
"Commercial Street, Shoreditch",51.52127,-0.075578,16
"Pindar Street, Liverpool Street",51.520955,-0.083493,24
"Wenlock Road , Hoxton",51.530991,-0.093903,28
"Crawford Street, Marylebone",51.52026,-0.157183,18
"Bruton Street, Mayfair",51.510736,-0.144165,21
"Boston Place, Marylebone",51.522511,-0.162298,26
"Godliman Street, St. Paul's",51.512484,-0.099141,25
"Curzon Street, Mayfair",51.507069,-0.145904,16
"Finsbury Library , Finsbury",51.526717,-0.104298,29
"Roscoe Street, St. Luke's",51.522954,-0.094934,18
"Grafton Street, Mayfair",51.509992,-0.143495,18
"Golden Lane, Barbican",51.521747,-0.094475,27
"Finsbury Circus, Liverpool Street",51.517075,-0.086685,33
"Paddington Street, Marylebone",51.520583,-0.154701,16
"Guilford Street , Bloomsbury",51.523346,-0.120202,32
"New Inn Yard, Shoreditch",51.524526,-0.079248,20
"Great Dover Street, The Borough",51.497382,-0.089446,33
"Cotton Garden Estate, Kennington",51.490757,-0.106323,24
"Murray Grove , Hoxton",51.53089,-0.089782,27
"William IV Street, Strand",51.509462,-0.124749,26
"Gower Place , Euston",51.525227,-0.135188,17
