Station,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,Borough,lat,long
Queensbury,7534.0,4941.0,3248.0,7372.0,4646.0,3116.0,546.6,Brent,51.59437,-0.28655
Queens Park,9409.0,6382.0,4651.0,8423.0,5362.0,4298.0,675.96,Brent,51.534179,-0.205257721
Putney Bridge,8283.0,6549.0,3856.0,8585.0,6106.0,3921.0,652.4,Hammersmith and Fulham,51.46868,-0.2088141
Preston Road,6315.0,3557.0,2656.0,5399.0,3292.0,2556.0,422.38,Brent,51.57229051,-0.295813875
Plaistow,9930.0,6676.0,4821.0,9429.0,6084.0,4795.0,731.47,Newham,51.53122,0.01659
Piccadilly Circus,59266.0,66956.0,40514.0,56959.0,65289.0,36412.0,5465.82,City of Westminster,51.51022,-0.13392
Pimlico,18185.0,10677.0,8159.0,17077.0,10280.0,8112.0,1282.02,City of Westminster,51.489081,-0.133037
Perivale,4207.0,2608.0,1616.0,3942.0,2401.0,1591.0,292.09,Ealing,51.536673,-0.32391
Parsons Green,11793.0,6549.0,3870.0,10566.0,5924.0,3847.0,769.32,Hammersmith and Fulham,51.47488,-0.20205
Park Royal,3241.0,2138.0,1477.0,3221.0,2097.0,1391.0,239.39,Ealing,51.52671,-0.28417
Queensway,11823.0,12040.0,9727.0,12303.0,12466.0,9693.0,1130.62,City of Westminster,51.59437,-0.18705
Paddington,78992.0,48872.0,41733.0,76087.0,46671.0,36560.0,5776.2,City of Westminster,51.5151846554,-0.17553880792
Pinner,5896.0,2947.0,1867.0,5615.0,2797.0,1766.0,381.37,Harrow,51.59270271,-0.380539158
Ravenscourt Park,5336.0,3061.0,2127.0,5132.0,2900.0,2176.0,370.08,Hammersmith and Fulham,51.49419,-0.2356
Royal Oak,4309.0,2687.0,1941.0,4048.0,2540.0,1990.0,308.67,City of Westminster,51.519383,-0.187785
Redbridge,4737.0,3633.0,2523.0,4378.0,3134.0,2295.0,359.94,Redbridge,51.57618,0.04542
Regents Park,5675.0,3012.0,2035.0,6202.0,3595.0,2428.0,410.69,City of Westminster,51.52344,-0.14713
Richmond,11845.0,13954.0,7259.0,12226.0,12874.0,7072.0,1103.47,Richmond,51.46343247,-0.302033247
Rickmansworth,4966.0,2059.0,1190.0,4381.0,1888.0,1139.0,291.48,Three Rivers,51.64027898,-0.473521454
Roding Valley,618.0,215.0,117.0,704.0,178.0,112.0,37.41,Epping Forest,51.61691,0.04264
Ruislip,3187.0,2193.0,1269.0,3186.0,2159.0,1237.0,234.68,Hillingdon,51.57146,-0.42157
Ruislip Gardens,2138.0,1138.0,651.0,1718.0,962.0,638.0,131.61,Hillingdon,51.560711,-0.410587
Ruislip Manor,3509.0,2072.0,1051.0,3231.0,1892.0,1104.0,232.74,Hillingdon,51.57349,-0.41185
Russell Square,18960.0,12688.0,9990.0,16656.0,12317.0,9299.0,1389.13,Camden,51.523243,-0.124336
Seven Sisters,28355.0,23861.0,17424.0,26646.0,22212.0,16762.0,2311.21,Haringey,51.58318,-0.07495
Sloane Square,27847.0,18087.0,12250.0,27104.0,18207.0,12148.0,2039.24,Kensington and Chelsea,51.49258474,-0.156090904
Oxford Circus,121364.0,103026.0,63185.0,136405.0,113894.0,65547.0,10417.31,City of Westminster,51.51517,-0.14119
Rayners Lane,6991.0,4352.0,2955.0,6986.0,4145.0,2910.0,503.62,Harrow,51.57534,-0.3724
Oval,11909.0,8303.0,5763.0,11272.0,7631.0,5485.0,882.67,Lambeth,51.48214,-0.11284
Leyton,20416.0,17743.0,12375.0,20276.0,15780.0,11901.0,1689.04,Waltham Forest,51.556483,-0.005669
Old Street,42971.0,26666.0,18023.0,41107.0,31508.0,17321.0,3131.06,Islington,51.52618,-0.08751
Snaresbrook,5596.0,2776.0,1754.0,4055.0,2562.0,1753.0,334.12,Redbridge,51.58002,0.02133
Liverpool Street,112437.0,56259.0,42894.0,111688.0,60262.0,41470.0,7652.5,City of London,51.517675,-0.082458
London Bridge,113606.0,78569.0,45408.0,107048.0,75800.0,42694.0,8204.75,Southwark,51.505353,-0.084826
Loughton,5830.0,3837.0,2098.0,5817.0,3635.0,2116.0,417.23,Epping Forest,51.6417,0.05583
Maida Vale,5434.0,3803.0,2676.0,4864.0,3331.0,2587.0,396.58,City of Westminster,51.52989409,-0.185888819
Manor House,13539.0,11134.0,8587.0,12569.0,9598.0,8442.0,1090.66,Hackney,51.57038,-0.09601
Mansion House,11584.0,2766.0,2046.0,11730.0,2602.0,1818.0,634.55,City of London,51.51256,-0.09397
Marble Arch,22337.0,19161.0,13651.0,19926.0,15796.0,11629.0,1761.62,City of Westminster,51.513597,-0.15869195
Marylebone,20984.0,14952.0,11935.0,21656.0,15163.0,10853.0,1659.36,City of Westminster,51.52266,-0.162996
Mile End,24959.0,18224.0,13261.0,23873.0,16737.0,13471.0,1916.96,Tower Hamlets,51.525306,-0.033471
Mill Hill East,2397.0,1202.0,769.0,2154.0,1414.0,877.0,158.18,Barnet,51.60892,-0.20965
Moor Park,1717.0,639.0,364.0,1558.0,619.0,381.0,99.27,Three Rivers,51.62970512,-0.432070848
Moorgate,46698.0,5823.0,3961.0,54744.0,7320.0,4878.0,2500.09,City of London,51.51817,-0.08859
Morden,17036.0,11546.0,8648.0,15608.0,10490.0,8367.0,1251.79,Merton,51.40222413,-0.194599126
Neasden,6327.0,4364.0,3153.0,5707.0,4027.0,2998.0,464.04,Brent,51.55427,-0.25042
Newbury Park,9329.0,6362.0,4269.0,8148.0,5762.0,3775.0,662.59,Redbridge,51.57565,0.08927
North Acton,11190.0,6407.0,4544.0,11023.0,5915.0,4405.0,778.38,Ealing,51.5237,-0.26019
North Ealing,1402.0,939.0,594.0,1232.0,801.0,601.0,98.3,Ealing,51.51807,-0.28838
North Greenwich,40613.0,35817.0,28314.0,42343.0,36024.0,29738.0,3593.14,Greenwich,51.50056,0.0036
North Harrow,3285.0,1730.0,1051.0,3165.0,1540.0,990.0,214.63,Harrow,51.58503612,-0.362595264
North Wembley,2917.0,1966.0,1404.0,2693.0,1751.0,1332.0,211.8,Brent,51.56258091,-0.304072648
Northfields,6422.0,4279.0,3038.0,6197.0,3990.0,3159.0,474.89,Ealing,51.499856,-0.313188
Northwick Park,7679.0,3607.0,2678.0,7553.0,3270.0,2612.0,499.66,Brent,51.57850117,-0.317857023
Northwood,5509.0,2592.0,1587.0,4747.0,2373.0,1533.0,336.43,Hillingdon,51.61098984,-0.423584422
Northwood Hills,3435.0,1901.0,1167.0,3250.0,1694.0,1117.0,227.66,Hillingdon,51.60043795,-0.408812575
Notting Hill Gate,23741.0,23951.0,14101.0,23447.0,27388.0,15288.0,2153.15,Kensington and Chelsea,51.509028,-0.1962847
Oakwood,4407.0,3555.0,2568.0,4331.0,3560.0,2689.0,361.31,Enfield,51.64739,-0.13192
Mornington Crescent,7868.0,4752.0,11598.0,7293.0,3435.0,2327.0,634.81,Camden,51.53427,-0.13901
South Ealing,5789.0,4409.0,2847.0,5650.0,3988.0,2805.0,444.74,Ealing,51.500801,-0.307856
Woodford,9442.0,6937.0,4140.0,9537.0,6301.0,4142.0,713.61,Redbridge,51.60582,0.03328
South Kensington,50391.0,42818.0,34161.0,49744.0,44056.0,33783.0,4315.96,Kensington and Chelsea,51.494066,-0.172791
Uxbridge,13974.0,8494.0,5256.0,13371.0,7825.0,5194.0,968.73,Hillingdon,51.54687,-0.47725
Vauxhall,50772.0,32387.0,24662.0,46714.0,30150.0,24796.0,3670.27,Lambeth,51.48603,-0.12369
Victoria,121018.0,88605.0,69760.0,122783.0,91001.0,71565.0,9727.26,City of Westminster,51.49662869,-0.14400853
Walthamstow Central,11961.0,9038.0,6526.0,17390.0,13811.0,10094.0,1172.94,Waltham Forest,51.58293,-0.01996
Wanstead,4802.0,3400.0,2220.0,4504.0,3156.0,2154.0,354.95,Redbridge,51.57565,0.02864
Warren Street,35810.0,13816.0,9209.0,33944.0,13362.0,8585.0,2143.86,Camden,51.5245,-0.1381
Warwick Avenue,6917.0,4925.0,3490.0,6357.0,4537.0,3598.0,518.36,City of Westminster,51.52329728,-0.183777837
Waterloo,147574.0,91841.0,55080.0,149577.0,90703.0,56770.0,10569.46,Lambeth,51.50322,-0.11328
Watford,3307.0,1654.0,1067.0,2873.0,1671.0,1001.0,209.9,Watford,51.65741058,-0.41745306
Wembley Central,8953.0,7503.0,5106.0,9173.0,7264.0,4613.0,735.76,Brent,51.55122817,-0.29577538
Wembley Park,24980.0,22413.0,14412.0,25094.0,21274.0,13438.0,2088.86,Brent,51.56355598,-0.279770242
West Acton,2754.0,2089.0,1386.0,2576.0,1903.0,1350.0,209.76,Ealing,51.51818,-0.28064
West Brompton,10006.0,4731.0,3077.0,10024.0,4141.0,2825.0,641.68,Kensington and Chelsea,51.48681,-0.19475
West Finchley,2897.0,1590.0,991.0,2694.0,1367.0,992.0,190.6,Barnet,51.60922281219,-0.188711152265457
Upton Park,15357.0,11407.0,8101.0,14397.0,10574.0,7544.0,1171.08,Newham,51.53514,0.03373
West Ham,6946.0,5447.0,3826.0,6466.0,5392.0,3805.0,548.44,Newham,51.527917,0.004141
West Harrow,2270.0,1686.0,941.0,2611.0,1742.0,998.0,181.02,Harrow,51.5795432,-0.353144584
West Kensington,8424.0,5987.0,4309.0,8020.0,5069.0,4121.0,628.45,Hammersmith and Fulham,51.49085,-0.20532
West Ruislip,2787.0,2113.0,1158.0,2672.0,1839.0,1078.0,205.9,Hillingdon,51.569324,-0.43674
Westbourne Park,6923.0,4582.0,2906.0,6272.0,4048.0,2973.0,489.49,City of Westminster,51.520995,-0.201778
Westminster,38241.0,31057.0,24309.0,39001.0,31405.0,23236.0,3201.5,City of Westminster,51.50121,-0.12489
White City,14693.0,7316.0,4358.0,15280.0,6845.0,4401.0,971.38,Hammersmith and Fulham,51.512206,-0.224226
Willesden Green,13820.0,10754.0,8161.0,13073.0,9494.0,7811.0,1087.13,Brent,51.54919,-0.22106
Willesden Junction,7566.0,5164.0,2908.0,7514.0,4743.0,3028.0,549.73,Brent,51.53181,-0.24235
Wimbledon,18188.0,15969.0,10013.0,20149.0,16795.0,10509.0,1574.78,Merton,51.422,-0.20544
Wimbledon Park,3583.0,2648.0,1605.0,3301.0,2235.0,1600.0,262.95,Merton,51.43391,-0.19864
Wood Green,20042.0,15815.0,11793.0,18949.0,16020.0,11415.0,1611.63,Haringey,51.59709,-0.10939
