Station,Community
"Moor Street, Soho",0
"Southampton Place, Holborn",1
"St Mary's Hospital, Paddington",0
"Edgware Road Station, Marylebone",0
"Baylis Road, Waterloo",2
"Kennington Road, Vauxhall",2
"Hop Exchange, The Borough",2
"Long Lane , Bermondsey",2
"Finsbury Leisure Centre, St. Luke's",1
"Bethnal Green Road, Shoreditch",1
"Snowsfields, London Bridge",2
"Bermondsey Street, Bermondsey",2
"Pall Mall East, West End",0
"Westminster Pier, Westminster",2
"Northington Street , Holborn",1
"Commercial Street, Shoreditch",1
"Warren Street Station, Euston",1
"Harrowby Street, Marylebone",0
"Southampton Street, Strand",0
"Borough High Street, The Borough",2
"Duke Street Hill, London Bridge",2
"Rochester Row, Westminster",0
"Brushfield Street, Liverpool Street",1
"Strata, Elephant & Castle",2
"Queen Victoria Street, St. Paul's",2
"Great Dover Street, The Borough",2
"Shouldham Street, Marylebone",0
"Elizabeth Bridge, Victoria",0
"Godliman Street, St. Paul's",1
"Graham Street, Angel",1
"Endsleigh Gardens, Euston",1
"Regency Street, Westminster",0
"Tate Modern, Bankside",2
"Frith Street, Soho",0
"Harrington Square 1, Camden Town",1
"Malet Street, Bloomsbury",1
"Fire Brigade Pier, Vauxhall",2
"St. Chad's Street, King's Cross",1
"Southwark Station 2, Southwark",2
"Borough Road, Elephant & Castle",2
"Newton Street, Covent Garden",1
"Tavistock Street, Covent Garden",2
"Waterloo Place, St. James's",0
"Belvedere Road 2, South Bank",2
"Wenlock Road , Hoxton",1
"Birkenhead Street, King's Cross",1
"Wren Street, Holborn",1
"Kennington Station, Kennington",2
"Rodney Road , Walworth",2
"Craven Street, Strand",0
"Ampton Street , Clerkenwell",1
"Percival Street, Finsbury",1
"Wells Street, Fitzrovia",0
"Lower Marsh, Waterloo",2
"Abingdon Green, Westminster",2
"Hyde Park Corner, Hyde Park",0
"Bell Lane, Liverpool Street",1
"Central House, Aldgate",1
"Bankside Mix, Bankside",2
"Waterloo Station 2, Waterloo",2
"Leman Street, Aldgate",1
"St. Katharine's Way, Tower",2
"Park Lane, Mayfair",0
"Porchester Place, Paddington",0
"Leonard Circus , Shoreditch",1
"Murray Grove , Hoxton",1
"Chicheley Street, South Bank",2
"Empire Square, The Borough",2
"Wormwood Street, Liverpool Street",1
"Crawford Street, Marylebone",0
"Hinde Street, Marylebone",0
"Drury Lane, Covent Garden",0
"Bricklayers Arms, Borough",2
"Falkirk Street, Hoxton",1
"St. John Street, Finsbury",1
"Bell Street , Marylebone",0
"South Audley Street, Mayfair",0
"Vincent Street, Pimlico",0
"Great Suffolk Street, The Borough",2
"Union Street, The Borough",2
"Swan Street, The Borough",2
"Bourne Street, Belgravia",0
"Old Street Station, St. Luke's",1
"Windsor Terrace, Hoxton",1
"Tower Wharf, Bermondsey",2
"Soho Square , Soho",0
"Hardwick Street, Clerkenwell",1
"Bedford Way, Bloomsbury",1
"Paddington Street, Marylebone",0
"Eccleston Place, Victoria",0
"Arundel Street, Temple",2
"Golden Lane, Barbican",1
"Hoxton Street, Hoxton",1
"Hatton Wall, Holborn",1
"Hoxton Station, Hoxton",1
"Earnshaw Street , Covent Garden",2
"Clerkenwell Green, Clerkenwell",1
"Pitfield Street Central, Hoxton",1
"Portland Place, Marylebone",0
