Station,Community
"Moor Street, Soho",0
"Southampton Place, Holborn",0
"St Mary's Hospital, Paddington",0
"Edgware Road Station, Marylebone",0
"Baylis Road, Waterloo",0
"Kennington Road, Vauxhall",0
"Hop Exchange, The Borough",0
"Long Lane , Bermondsey",0
"Finsbury Leisure Centre, St. Luke's",0
"Bethnal Green Road, Shoreditch",0
"Snowsfields, London Bridge",0
"Bermondsey Street, Bermondsey",0
"Pall Mall East, West End",0
"Westminster Pier, Westminster",0
"Northington Street , Holborn",0
"Commercial Street, Shoreditch",0
"Warren Street Station, Euston",0
"Harrowby Street, Marylebone",0
"Southampton Street, Strand",0
"Borough High Street, The Borough",0
"Duke Street Hill, London Bridge",0
"Rochester Row, Westminster",0
"Brushfield Street, Liverpool Street",0
"Strata, Elephant & Castle",0
"Queen Victoria Street, St. Paul's",0
"Great Dover Street, The Borough",0
"Shouldham Street, Marylebone",0
"Elizabeth Bridge, Victoria",0
"Godliman Street, St. Paul's",0
"Graham Street, Angel",0
"Endsleigh Gardens, Euston",0
"Regency Street, Westminster",0
"Tate Modern, Bankside",0
"Frith Street, Soho",0
"Harrington Square 1, Camden Town",0
"Malet Street, Bloomsbury",0
"Fire Brigade Pier, Vauxhall",0
"St. Chad's Street, King's Cross",0
"Southwark Station 2, Southwark",0
"Borough Road, Elephant & Castle",0
"Newton Street, Covent Garden",0
"Tavistock Street, Covent Garden",0
"Waterloo Place, St. James's",0
"Belvedere Road 2, South Bank",0
"Wenlock Road , Hoxton",0
"Birkenhead Street, King's Cross",0
"Wren Street, Holborn",0
"Kennington Station, Kennington",0
"Rodney Road , Walworth",0
"Craven Street, Strand",0
"Ampton Street , Clerkenwell",0
"Percival Street, Finsbury",0
"Wells Street, Fitzrovia",0
"Lower Marsh, Waterloo",0
"Abingdon Green, Westminster",0
"Hyde Park Corner, Hyde Park",1
"Bell Lane, Liverpool Street",0
"Central House, Aldgate",0
"Bankside Mix, Bankside",0
"Waterloo Station 2, Waterloo",0
"Leman Street, Aldgate",0
"St. Katharine's Way, Tower",0
"Park Lane, Mayfair",0
"Porchester Place, Paddington",0
"Leonard Circus , Shoreditch",0
"Murray Grove , Hoxton",0
"Chicheley Street, South Bank",0
"Empire Square, The Borough",0
"Wormwood Street, Liverpool Street",0
"Crawford Street, Marylebone",0
"Hinde Street, Marylebone",0
"Drury Lane, Covent Garden",0
"Bricklayers Arms, Borough",0
"Falkirk Street, Hoxton",0
"St. John Street, Finsbury",0
"Bell Street , Marylebone",0
"South Audley Street, Mayfair",0
"Vincent Street, Pimlico",0
"Great Suffolk Street, The Borough",0
"Union Street, The Borough",0
"Swan Street, The Borough",0
"Bourne Street, Belgravia",0
"Old Street Station, St. Luke's",0
"Windsor Terrace, Hoxton",0
"Tower Wharf, Bermondsey",0
"Soho Square , Soho",0
"Hardwick Street, Clerkenwell",0
"Bedford Way, Bloomsbury",0
"Paddington Street, Marylebone",0
"Eccleston Place, Victoria",0
"Arundel Street, Temple",0
"Golden Lane, Barbican",0
"Hoxton Street, Hoxton",0
"Hatton Wall, Holborn",0
"Hoxton Station, Hoxton",0
"Earnshaw Street , Covent Garden",0
"Clerkenwell Green, Clerkenwell",0
"Pitfield Street Central, Hoxton",0
"Portland Place, Marylebone",0
"Albany Street, The Regent's Park",0
"Palissy Street, Shoreditch",0
"Tooley Street, Bermondsey",0
"Wellington Street , Strand",0
"Lambeth Palace Road, Waterloo",0
"Ossulston Street, Somers Town",0
"Holy Trinity Brompton, Knightsbridge",0
"Great Russell Street, Bloomsbury",0
"Bath Street, St. Luke's",0
"Panton Street, West End",0
"Tachbrook Street, Victoria",0
"Taviton Street, Bloomsbury",0
"Red Lion Square, Holborn",0
"Page Street, Westminster",0
"Vincent Square, Westminster",0
"Doric Way , Somers Town",0
"Walnut Tree Walk, Vauxhall",0
"Argyle Street, Kings Cross",0
"Chadwell Street, Angel",0
"Margery Street, Clerkenwell",0
"Eagle Wharf Road, Hoxton",0
"Baldwin Street, St. Luke's",0
"Breams Buildings, Holborn",0
"Foley Street, Fitzrovia",0
"Albert Gate, Hyde Park",1
"Great Tower Street, Monument",0
"Milroy Walk, South Bank",0
"Webber Street , Southwark",0
"Great Titchfield Street, Fitzrovia",0
"Braham Street, Aldgate",0
"Waterloo Station 3, Waterloo",0
"Bouverie Street, Temple",0
"River Street , Clerkenwell",0
"Claremont Square, Angel",0
"New Kent Road, The Borough",0
"Granby Street, Shoreditch",0
"High Holborn , Covent Garden",0
"Curzon Street, Mayfair",0
"George Street, Marylebone",0
"Beaumont Street, Marylebone",0
"Kennington Cross, Kennington",0
"Brandon Street, Walworth",0
"Lower Thames Street, Monument",0
"Store Street, Bloomsbury",0
"Hampstead Road, Euston",0
"Crosswall, Tower",0
"Sea Containers, South Bank",0
"Seymour Place, Marylebone",0
"Sackville Street, Mayfair",0
"Pont Street, Knightsbridge",0
"Great Percy Street, Clerkenwell",0
"Charlbert Street, St. John's Wood",0
"Gaywood  Street, Elephant & Castle",0
"Whitehall Place, Strand",0
"Ashley Place, Victoria",0
"Lambeth Road, Vauxhall",0
"Queen Street 1, Bank",0
"Monument Street, Monument",0
"Sloane Avenue, Knightsbridge",0
"Archbishop's Park, Waterloo",0
"Poured Lines, Bankside",0
"Curlew Street, Shad Thames",0
"Waterloo Road, South Bank",0
"Sedding Street, Sloane Square",0
"Theobald's Road , Holborn",0
"Worship Street, Shoreditch",0
"Shoreditch High Street, Shoreditch",0
"King Edward Walk, Waterloo",0
"Sadlers Sports Centre, Finsbury",0
"Ontario Street, Elephant & Castle",0
"LSBU (Borough Road), Elephant & Castle",0
"Denyer Street, Knightsbridge",0
"Guilford Street , Bloomsbury",0
"Belgrave Road, Victoria",0
"Hampton Street, Walworth",0
"Christopher Street, Liverpool Street",0
"Old Quebec Street, Marylebone",0
"Drummond Street , Euston",0
"Berry Street, Clerkenwell",0
"Concert Hall Approach 1, South Bank",0
"Russell Square Station, Bloomsbury",0
"Good's Way, King's Cross",0
"Black Prince Road, Vauxhall",0
"New Globe Walk, Bankside",0
"Barbican Centre, Barbican",0
"New North Road 2, Hoxton",0
"Seville Street, Knightsbridge",0
"Cartwright Gardens , Bloomsbury",0
"Belvedere Road 1, South Bank",0
"Red Lion Street, Holborn",0
"Aldersgate Street, Barbican",0
"Columbia Road, Shoreditch",0
"Crimscott Street, Bermondsey",0
"Temple Gardens, Temple",0
"Brunswick Square, Bloomsbury",0
"Sun Street, Liverpool Street",0
"Dorset Square, Marylebone",0
"St. Martin's Street, West End",0
"Tanner Street, Bermondsey",0
"Eversholt Street , Camden Town",0
"New Cavendish Street, Marylebone",0
"Little Argyll Street, West End",0
