station,hour,pick_up_demand,drop_off_demand,Utilisation,pick_up_demand_avg,drop_off_demand_avg,Utilisation_avg
"Abbey Orchard Street, Westminster",0,5.0,3.0,3.0,0.07692307692307693,0.046153846153846156,0.046153846153846156
"Abbey Orchard Street, Westminster",1,1.0,1.0,0.0,0.015384615384615385,0.015384615384615385,0.0
"Abbey Orchard Street, Westminster",2,2.0,5.0,2.0,0.03076923076923077,0.07692307692307693,0.03076923076923077
"Abbey Orchard Street, Westminster",3,0.0,0.0,0.0,0.0,0.0,0.0
"Abbey Orchard Street, Westminster",4,1.0,2.0,2.0,0.015384615384615385,0.03076923076923077,0.03076923076923077
"Abbey Orchard Street, Westminster",5,2.0,2.0,4.0,0.03076923076923077,0.03076923076923077,0.06153846153846154
"Abbey Orchard Street, Westminster",6,24.0,8.0,7.0,0.36923076923076925,0.12307692307692308,0.1076923076923077
"Abbey Orchard Street, Westminster",7,39.0,74.0,71.0,0.6,1.1384615384615384,1.0923076923076922
"Abbey Orchard Street, Westminster",8,48.0,329.0,233.0,0.7384615384615385,5.061538461538461,3.5846153846153848
"Abbey Orchard Street, Westminster",9,43.0,305.0,224.0,0.6615384615384615,4.6923076923076925,3.4461538461538463
"Abbey Orchard Street, Westminster",10,24.0,143.0,73.0,0.36923076923076925,2.2,1.123076923076923
"Abbey Orchard Street, Westminster",11,53.0,56.0,64.0,0.8153846153846154,0.8615384615384616,0.9846153846153847
"Abbey Orchard Street, Westminster",12,67.0,74.0,105.0,1.0307692307692307,1.1384615384615384,1.6153846153846154
"Abbey Orchard Street, Westminster",13,45.0,63.0,60.0,0.6923076923076923,0.9692307692307692,0.9230769230769231
"Abbey Orchard Street, Westminster",14,62.0,59.0,79.0,0.9538461538461539,0.9076923076923077,1.2153846153846153
"Abbey Orchard Street, Westminster",15,65.0,43.0,65.0,1.0,0.6615384615384615,1.0
"Abbey Orchard Street, Westminster",16,150.0,53.0,128.0,2.3076923076923075,0.8153846153846154,1.9692307692307693
"Abbey Orchard Street, Westminster",17,301.0,61.0,252.0,4.630769230769231,0.9384615384615385,3.876923076923077
"Abbey Orchard Street, Westminster",18,162.0,86.0,207.0,2.4923076923076923,1.323076923076923,3.1846153846153844
"Abbey Orchard Street, Westminster",19,97.0,57.0,112.0,1.4923076923076923,0.8769230769230769,1.7230769230769232
"Abbey Orchard Street, Westminster",20,47.0,31.0,38.0,0.7230769230769231,0.47692307692307695,0.5846153846153846
"Abbey Orchard Street, Westminster",21,26.0,19.0,17.0,0.4,0.2923076923076923,0.26153846153846155
"Abbey Orchard Street, Westminster",22,20.0,11.0,5.0,0.3076923076923077,0.16923076923076924,0.07692307692307693
"Abbey Orchard Street, Westminster",23,11.0,5.0,4.0,0.16923076923076924,0.07692307692307693,0.06153846153846154
"Abingdon Green, Westminster",0,3.0,8.0,0.0,0.046153846153846156,0.12307692307692308,0.0
"Abingdon Green, Westminster",1,1.0,5.0,0.0,0.015384615384615385,0.07692307692307693,0.0
"Abingdon Green, Westminster",2,0.0,0.0,0.0,0.0,0.0,0.0
"Abingdon Green, Westminster",3,5.0,2.0,0.0,0.07692307692307693,0.03076923076923077,0.0
"Abingdon Green, Westminster",4,2.0,3.0,2.0,0.03076923076923077,0.046153846153846156,0.03076923076923077
"Abingdon Green, Westminster",5,3.0,3.0,0.0,0.046153846153846156,0.046153846153846156,0.0
"Abingdon Green, Westminster",6,8.0,18.0,4.0,0.12307692307692308,0.27692307692307694,0.06153846153846154
"Abingdon Green, Westminster",7,27.0,69.0,44.0,0.4153846153846154,1.0615384615384615,0.676923076923077
"Abingdon Green, Westminster",8,64.0,233.0,233.0,0.9846153846153847,3.5846153846153848,3.5846153846153848
"Abingdon Green, Westminster",9,49.0,158.0,127.0,0.7538461538461538,2.4307692307692306,1.9538461538461538
"Abingdon Green, Westminster",10,38.0,74.0,52.0,0.5846153846153846,1.1384615384615384,0.8
"Abingdon Green, Westminster",11,40.0,46.0,40.0,0.6153846153846154,0.7076923076923077,0.6153846153846154
"Abingdon Green, Westminster",12,69.0,56.0,59.0,1.0615384615384615,0.8615384615384616,0.9076923076923077
"Abingdon Green, Westminster",13,81.0,78.0,107.0,1.2461538461538462,1.2,1.646153846153846
"Abingdon Green, Westminster",14,77.0,69.0,100.0,1.1846153846153846,1.0615384615384615,1.5384615384615385
"Abingdon Green, Westminster",15,88.0,36.0,56.0,1.353846153846154,0.5538461538461539,0.8615384615384616
"Abingdon Green, Westminster",16,107.0,86.0,143.0,1.646153846153846,1.323076923076923,2.2
"Abingdon Green, Westminster",17,160.0,71.0,165.0,2.4615384615384617,1.0923076923076922,2.5384615384615383
"Abingdon Green, Westminster",18,149.0,70.0,159.0,2.292307692307692,1.0769230769230769,2.4461538461538463
"Abingdon Green, Westminster",19,89.0,46.0,72.0,1.3692307692307693,0.7076923076923077,1.1076923076923078
"Abingdon Green, Westminster",20,35.0,13.0,10.0,0.5384615384615384,0.2,0.15384615384615385
"Abingdon Green, Westminster",21,6.0,16.0,5.0,0.09230769230769231,0.24615384615384617,0.07692307692307693
"Abingdon Green, Westminster",22,12.0,8.0,7.0,0.18461538461538463,0.12307692307692308,0.1076923076923077
"Abingdon Green, Westminster",23,5.0,14.0,4.0,0.07692307692307693,0.2153846153846154,0.06153846153846154
"Albany Street, The Regent's Park",0,7.0,6.0,2.0,0.1076923076923077,0.09230769230769231,0.03076923076923077
"Albany Street, The Regent's Park",1,5.0,3.0,0.0,0.07692307692307693,0.046153846153846156,0.0
"Albany Street, The Regent's Park",2,3.0,3.0,0.0,0.046153846153846156,0.046153846153846156,0.0
"Albany Street, The Regent's Park",3,1.0,1.0,0.0,0.015384615384615385,0.015384615384615385,0.0
"Albany Street, The Regent's Park",4,4.0,3.0,2.0,0.06153846153846154,0.046153846153846156,0.03076923076923077
"Albany Street, The Regent's Park",5,2.0,31.0,4.0,0.03076923076923077,0.47692307692307695,0.06153846153846154
"Albany Street, The Regent's Park",6,23.0,14.0,10.0,0.35384615384615387,0.2153846153846154,0.15384615384615385
"Albany Street, The Regent's Park",7,89.0,17.0,33.0,1.3692307692307693,0.26153846153846155,0.5076923076923077
"Albany Street, The Regent's Park",8,256.0,44.0,183.0,3.9384615384615387,0.676923076923077,2.8153846153846156
"Albany Street, The Regent's Park",9,140.0,29.0,80.0,2.1538461538461537,0.4461538461538462,1.2307692307692308
"Albany Street, The Regent's Park",10,120.0,30.0,83.0,1.8461538461538463,0.46153846153846156,1.2769230769230768
"Albany Street, The Regent's Park",11,81.0,30.0,61.0,1.2461538461538462,0.46153846153846156,0.9384615384615385
"Albany Street, The Regent's Park",12,83.0,40.0,73.0,1.2769230769230768,0.6153846153846154,1.123076923076923
"Albany Street, The Regent's Park",13,70.0,67.0,103.0,1.0769230769230769,1.0307692307692307,1.5846153846153845
"Albany Street, The Regent's Park",14,64.0,40.0,57.0,0.9846153846153847,0.6153846153846154,0.8769230769230769
"Albany Street, The Regent's Park",15,81.0,30.0,45.0,1.2461538461538462,0.46153846153846156,0.6923076923076923
"Albany Street, The Regent's Park",16,53.0,78.0,83.0,0.8153846153846154,1.2,1.2769230769230768
"Albany Street, The Regent's Park",17,56.0,88.0,97.0,0.8615384615384616,1.353846153846154,1.4923076923076923
"Albany Street, The Regent's Park",18,63.0,151.0,140.0,0.9692307692307692,2.3230769230769233,2.1538461538461537
"Albany Street, The Regent's Park",19,75.0,168.0,190.0,1.1538461538461537,2.5846153846153848,2.923076923076923
"Albany Street, The Regent's Park",20,39.0,87.0,76.0,0.6,1.3384615384615384,1.1692307692307693
"Albany Street, The Regent's Park",21,22.0,67.0,44.0,0.3384615384615385,1.0307692307692307,0.676923076923077
"Albany Street, The Regent's Park",22,9.0,56.0,12.0,0.13846153846153847,0.8615384615384616,0.18461538461538463
"Albany Street, The Regent's Park",23,9.0,24.0,11.0,0.13846153846153847,0.36923076923076925,0.16923076923076924
"Albert Embankment, Vauxhall",0,2.0,3.0,0.0,0.03076923076923077,0.046153846153846156,0.0
"Albert Embankment, Vauxhall",1,1.0,4.0,0.0,0.015384615384615385,0.06153846153846154,0.0
"Albert Embankment, Vauxhall",2,2.0,1.0,0.0,0.03076923076923077,0.015384615384615385,0.0
"Albert Embankment, Vauxhall",3,2.0,2.0,2.0,0.03076923076923077,0.03076923076923077,0.03076923076923077
"Albert Embankment, Vauxhall",4,3.0,1.0,2.0,0.046153846153846156,0.015384615384615385,0.03076923076923077
"Albert Embankment, Vauxhall",5,11.0,0.0,0.0,0.16923076923076924,0.0,0.0
"Albert Embankment, Vauxhall",6,9.0,18.0,11.0,0.13846153846153847,0.27692307692307694,0.16923076923076924
"Albert Embankment, Vauxhall",7,40.0,27.0,32.0,0.6153846153846154,0.4153846153846154,0.49230769230769234
"Albert Embankment, Vauxhall",8,81.0,62.0,121.0,1.2461538461538462,0.9538461538461539,1.8615384615384616
"Albert Embankment, Vauxhall",9,72.0,65.0,101.0,1.1076923076923078,1.0,1.5538461538461539
"Albert Embankment, Vauxhall",10,38.0,34.0,48.0,0.5846153846153846,0.5230769230769231,0.7384615384615385
"Albert Embankment, Vauxhall",11,34.0,26.0,18.0,0.5230769230769231,0.4,0.27692307692307694
"Albert Embankment, Vauxhall",12,39.0,36.0,51.0,0.6,0.5538461538461539,0.7846153846153846
"Albert Embankment, Vauxhall",13,42.0,22.0,25.0,0.6461538461538462,0.3384615384615385,0.38461538461538464
"Albert Embankment, Vauxhall",14,42.0,50.0,45.0,0.6461538461538462,0.7692307692307693,0.6923076923076923
"Albert Embankment, Vauxhall",15,42.0,43.0,40.0,0.6461538461538462,0.6615384615384615,0.6153846153846154
"Albert Embankment, Vauxhall",16,86.0,36.0,72.0,1.323076923076923,0.5538461538461539,1.1076923076923078
"Albert Embankment, Vauxhall",17,117.0,78.0,165.0,1.8,1.2,2.5384615384615383
"Albert Embankment, Vauxhall",18,128.0,53.0,123.0,1.9692307692307693,0.8153846153846154,1.8923076923076922
"Albert Embankment, Vauxhall",19,57.0,51.0,62.0,0.8769230769230769,0.7846153846153846,0.9538461538461539
"Albert Embankment, Vauxhall",20,23.0,30.0,23.0,0.35384615384615387,0.46153846153846156,0.35384615384615387
"Albert Embankment, Vauxhall",21,17.0,24.0,19.0,0.26153846153846155,0.36923076923076925,0.2923076923076923
"Albert Embankment, Vauxhall",22,11.0,21.0,10.0,0.16923076923076924,0.3230769230769231,0.15384615384615385
"Albert Embankment, Vauxhall",23,5.0,7.0,3.0,0.07692307692307693,0.1076923076923077,0.046153846153846156
"Albert Gate, Hyde Park",0,2.0,3.0,4.0,0.03076923076923077,0.046153846153846156,0.06153846153846154
