current_station,hour,median_fullness_rate,station,factor,efficiency,fullness_based_on_x_observations
"Abbey Orchard Street, Westminster",0,0.06896551724137931,"Abbey Orchard Street, Westminster",0.2,0.1310344827586207,49
"Abbey Orchard Street, Westminster",1,0.06896551724137931,"Abbey Orchard Street, Westminster",0.2,0.1310344827586207,50
"Abbey Orchard Street, Westminster",2,0.06896551724137931,"Abbey Orchard Street, Westminster",0.8,0.7310344827586207,49
"Abbey Orchard Street, Westminster",3,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5,0.43103448275862066,47
"Abbey Orchard Street, Westminster",4,0.06896551724137931,"Abbey Orchard Street, Westminster",0.2,0.1310344827586207,47
"Abbey Orchard Street, Westminster",5,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5000000000000001,0.4310344827586208,47
"Abbey Orchard Street, Westminster",6,0.06896551724137931,"Abbey Orchard Street, Westminster",0.3245283018867926,0.25556278464541327,55
"Abbey Orchard Street, Westminster",7,0.06896551724137931,"Abbey Orchard Street, Westminster",0.56,0.4910344827586207,54
"Abbey Orchard Street, Westminster",8,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5313432835820897,0.46237776634071037,65
"Abbey Orchard Street, Westminster",9,0.20689655172413793,"Abbey Orchard Street, Westminster",0.5559322033898306,0.3490356516656927,72
"Abbey Orchard Street, Westminster",10,0.3793103448275862,"Abbey Orchard Street, Westminster",0.5750000000000001,0.19568965517241388,67
"Abbey Orchard Street, Westminster",11,0.4482758620689655,"Abbey Orchard Street, Westminster",0.7000000000000002,0.25172413793103465,67
"Abbey Orchard Street, Westminster",12,0.5172413793103449,"Abbey Orchard Street, Westminster",0.7000000000000002,0.18275862068965532,67
"Abbey Orchard Street, Westminster",13,0.5,"Abbey Orchard Street, Westminster",0.6000000000000001,0.10000000000000009,68
"Abbey Orchard Street, Westminster",14,0.5172413793103449,"Abbey Orchard Street, Westminster",0.6321678321678323,0.11492645285748748,66
"Abbey Orchard Street, Westminster",15,0.5689655172413792,"Abbey Orchard Street, Westminster",0.568098159509203,0.0008673577321762771,64
"Abbey Orchard Street, Westminster",16,0.5517241379310345,"Abbey Orchard Street, Westminster",0.4444444444444445,0.10727969348659,61
"Abbey Orchard Street, Westminster",17,0.4482758620689655,"Abbey Orchard Street, Westminster",0.4771300448430494,0.02885418277408386,56
"Abbey Orchard Street, Westminster",18,0.2413793103448276,"Abbey Orchard Street, Westminster",0.4571428571428572,0.2157635467980296,56
"Abbey Orchard Street, Westminster",19,0.13793103448275862,"Abbey Orchard Street, Westminster",0.5380281690140849,0.4000971345313263,52
"Abbey Orchard Street, Westminster",20,0.10344827586206896,"Abbey Orchard Street, Westminster",0.4068965517241381,0.30344827586206913,56
"Abbey Orchard Street, Westminster",21,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5894736842105264,0.520508166969147,54
"Abbey Orchard Street, Westminster",22,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5000000000000001,0.4310344827586208,57
"Abbey Orchard Street, Westminster",23,0.06896551724137931,"Abbey Orchard Street, Westminster",0.5000000000000001,0.4310344827586208,54
"Abbotsbury Road, Holland Park",0,0.125,"Abbotsbury Road, Holland Park",0.2,0.07500000000000001,108
"Abbotsbury Road, Holland Park",1,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,109
"Abbotsbury Road, Holland Park",2,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,109
"Abbotsbury Road, Holland Park",3,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,109
"Abbotsbury Road, Holland Park",4,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,109
"Abbotsbury Road, Holland Park",5,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,109
"Abbotsbury Road, Holland Park",6,0.125,"Abbotsbury Road, Holland Park",0.8,0.675,109
"Abbotsbury Road, Holland Park",7,0.125,"Abbotsbury Road, Holland Park",0.2,0.07500000000000001,107
"Abbotsbury Road, Holland Park",8,0.08333333333333333,"Abbotsbury Road, Holland Park",0.5,0.4166666666666667,106
"Abbotsbury Road, Holland Park",9,0.08333333333333333,"Abbotsbury Road, Holland Park",0.5,0.4166666666666667,100
"Abbotsbury Road, Holland Park",10,0.08333333333333333,"Abbotsbury Road, Holland Park",0.5,0.4166666666666667,102
"Abbotsbury Road, Holland Park",11,0.08333333333333333,"Abbotsbury Road, Holland Park",0.6000000000000001,0.5166666666666667,107
"Abbotsbury Road, Holland Park",12,0.08333333333333333,"Abbotsbury Road, Holland Park",0.5,0.4166666666666667,108
"Abbotsbury Road, Holland Park",13,0.08333333333333333,"Abbotsbury Road, Holland Park",0.3538461538461539,0.2705128205128206,108
"Abbotsbury Road, Holland Park",14,0.08333333333333333,"Abbotsbury Road, Holland Park",0.4,0.3166666666666667,106
"Abbotsbury Road, Holland Park",15,0.08333333333333333,"Abbotsbury Road, Holland Park",0.3571428571428573,0.273809523809524,105
"Abbotsbury Road, Holland Park",16,0.08333333333333333,"Abbotsbury Road, Holland Park",0.5731707317073174,0.48983739837398405,110
"Abbotsbury Road, Holland Park",17,0.08333333333333333,"Abbotsbury Road, Holland Park",0.2692307692307693,0.18589743589743596,112
"Abbotsbury Road, Holland Park",18,0.08333333333333333,"Abbotsbury Road, Holland Park",0.3571428571428571,0.2738095238095238,111
"Abbotsbury Road, Holland Park",19,0.125,"Abbotsbury Road, Holland Park",0.5493670886075952,0.4243670886075952,108
"Abbotsbury Road, Holland Park",20,0.125,"Abbotsbury Road, Holland Park",0.38181818181818206,0.25681818181818206,110
"Abbotsbury Road, Holland Park",21,0.125,"Abbotsbury Road, Holland Park",0.5692307692307693,0.4442307692307693,110
"Abbotsbury Road, Holland Park",22,0.125,"Abbotsbury Road, Holland Park",0.5,0.375,111
"Abbotsbury Road, Holland Park",23,0.125,"Abbotsbury Road, Holland Park",0.2,0.07500000000000001,109
"Aberdeen Place, St. John's Wood",0,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.2,0.2444444444444444,55
"Aberdeen Place, St. John's Wood",1,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.2,0.2444444444444444,55
"Aberdeen Place, St. John's Wood",2,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.2,0.2444444444444444,56
"Aberdeen Place, St. John's Wood",3,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.5,0.05555555555555558,56
"Aberdeen Place, St. John's Wood",4,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.5,0.05555555555555558,56
"Aberdeen Place, St. John's Wood",5,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.2,0.2444444444444444,56
"Aberdeen Place, St. John's Wood",6,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.8,0.3555555555555556,55
"Aberdeen Place, St. John's Wood",7,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.2931034482758621,0.15134099616858232,51
"Aberdeen Place, St. John's Wood",8,0.3333333333333333,"Aberdeen Place, St. John's Wood",0.32000000000000006,0.013333333333333253,46
"Aberdeen Place, St. John's Wood",9,0.2777777777777778,"Aberdeen Place, St. John's Wood",0.3384615384615385,0.06068376068376069,39
"Aberdeen Place, St. John's Wood",10,0.2222222222222222,"Aberdeen Place, St. John's Wood",0.5,0.2777777777777778,38
"Aberdeen Place, St. John's Wood",11,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.34457831325301214,0.17791164658634548,36
"Aberdeen Place, St. John's Wood",12,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.4,0.23333333333333336,36
"Aberdeen Place, St. John's Wood",13,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.5,0.33333333333333337,39
"Aberdeen Place, St. John's Wood",14,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.55,0.3833333333333334,43
"Aberdeen Place, St. John's Wood",15,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.4,0.23333333333333336,44
"Aberdeen Place, St. John's Wood",16,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.5,0.33333333333333337,43
"Aberdeen Place, St. John's Wood",17,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.5,0.33333333333333337,44
"Aberdeen Place, St. John's Wood",18,0.16666666666666666,"Aberdeen Place, St. John's Wood",0.5,0.33333333333333337,50
"Aberdeen Place, St. John's Wood",19,0.2777777777777778,"Aberdeen Place, St. John's Wood",0.6724409448818902,0.3946631671041124,56
"Aberdeen Place, St. John's Wood",20,0.2777777777777778,"Aberdeen Place, St. John's Wood",0.5681818181818187,0.2904040404040409,57
"Aberdeen Place, St. John's Wood",21,0.3888888888888889,"Aberdeen Place, St. John's Wood",0.6000000000000001,0.2111111111111112,59
"Aberdeen Place, St. John's Wood",22,0.3888888888888889,"Aberdeen Place, St. John's Wood",0.4727272727272729,0.08383838383838399,60
"Aberdeen Place, St. John's Wood",23,0.4444444444444444,"Aberdeen Place, St. John's Wood",0.8,0.3555555555555556,59
"Aberfeldy Street, Poplar",0,0.25,"Aberfeldy Street, Poplar",0.2,0.04999999999999999,123
"Aberfeldy Street, Poplar",1,0.25,"Aberfeldy Street, Poplar",0.5,0.25,124
"Aberfeldy Street, Poplar",2,0.25,"Aberfeldy Street, Poplar",0.5,0.25,124
"Aberfeldy Street, Poplar",3,0.25,"Aberfeldy Street, Poplar",0.5,0.25,124
"Aberfeldy Street, Poplar",4,0.25,"Aberfeldy Street, Poplar",0.5,0.25,124
"Aberfeldy Street, Poplar",5,0.25,"Aberfeldy Street, Poplar",0.5,0.25,124
"Aberfeldy Street, Poplar",6,0.25,"Aberfeldy Street, Poplar",0.2,0.04999999999999999,124
"Aberfeldy Street, Poplar",7,0.25,"Aberfeldy Street, Poplar",0.6000000000000001,0.3500000000000001,124
"Aberfeldy Street, Poplar",8,0.25,"Aberfeldy Street, Poplar",0.4,0.15000000000000002,126
"Aberfeldy Street, Poplar",9,0.1875,"Aberfeldy Street, Poplar",0.5818181818181819,0.3943181818181819,125
"Aberfeldy Street, Poplar",10,0.1875,"Aberfeldy Street, Poplar",0.2931034482758621,0.1056034482758621,126
"Aberfeldy Street, Poplar",11,0.1875,"Aberfeldy Street, Poplar",0.40625000000000017,0.21875000000000017,126
"Aberfeldy Street, Poplar",12,0.1875,"Aberfeldy Street, Poplar",0.32475247524752476,0.13725247524752476,125
"Aberfeldy Street, Poplar",13,0.1875,"Aberfeldy Street, Poplar",0.32000000000000006,0.13250000000000006,125
"Aberfeldy Street, Poplar",14,0.1875,"Aberfeldy Street, Poplar",0.5461538461538465,0.35865384615384654,126
"Aberfeldy Street, Poplar",15,0.25,"Aberfeldy Street, Poplar",0.41052631578947385,0.16052631578947385,127
"Aberfeldy Street, Poplar",16,0.25,"Aberfeldy Street, Poplar",0.55,0.30000000000000004,126
"Aberfeldy Street, Poplar",17,0.1875,"Aberfeldy Street, Poplar",0.6000000000000001,0.4125000000000001,124
"Aberfeldy Street, Poplar",18,0.25,"Aberfeldy Street, Poplar",0.5870967741935491,0.3370967741935491,127
"Aberfeldy Street, Poplar",19,0.1875,"Aberfeldy Street, Poplar",0.8,0.6125,122
"Aberfeldy Street, Poplar",20,0.25,"Aberfeldy Street, Poplar",0.5428571428571429,0.2928571428571429,125
"Aberfeldy Street, Poplar",21,0.25,"Aberfeldy Street, Poplar",0.8,0.55,125
"Aberfeldy Street, Poplar",22,0.25,"Aberfeldy Street, Poplar",0.8,0.55,125
"Aberfeldy Street, Poplar",23,0.25,"Aberfeldy Street, Poplar",0.2,0.04999999999999999,125
"Abingdon Green, Westminster",0,0.1,"Abingdon Green, Westminster",0.2,0.1,64
"Abingdon Green, Westminster",1,0.05,"Abingdon Green, Westminster",0.2,0.15000000000000002,64
"Abingdon Green, Westminster",2,0.05,"Abingdon Green, Westminster",0.5000000000000001,0.4500000000000001,63
"Abingdon Green, Westminster",3,0.05,"Abingdon Green, Westminster",0.2,0.15000000000000002,62
"Abingdon Green, Westminster",4,0.05,"Abingdon Green, Westminster",0.2,0.15000000000000002,60
"Abingdon Green, Westminster",5,0.1,"Abingdon Green, Westminster",0.2,0.1,83
"Abingdon Green, Westminster",6,0.1,"Abingdon Green, Westminster",0.8,0.7000000000000001,79
"Abingdon Green, Westminster",7,0.1,"Abingdon Green, Westminster",0.6800000000000002,0.5800000000000002,82
"Abingdon Green, Westminster",8,0.15,"Abingdon Green, Westminster",0.4571428571428572,0.30714285714285716,84
"Abingdon Green, Westminster",9,0.35,"Abingdon Green, Westminster",0.56,0.21000000000000008,99
"Abingdon Green, Westminster",10,0.5,"Abingdon Green, Westminster",0.5937500000000003,0.09375000000000033,97
"Abingdon Green, Westminster",11,0.55,"Abingdon Green, Westminster",0.6323529411764708,0.08235294117647074,95
"Abingdon Green, Westminster",12,0.55,"Abingdon Green, Westminster",0.5750000000000001,0.025000000000000022,95
"Abingdon Green, Westminster",13,0.6,"Abingdon Green, Westminster",0.56,0.039999999999999925,94
"Abingdon Green, Westminster",14,0.6,"Abingdon Green, Westminster",0.56,0.039999999999999925,93
"Abingdon Green, Westminster",15,0.65,"Abingdon Green, Westminster",0.5,0.15000000000000002,94
"Abingdon Green, Westminster",16,0.55,"Abingdon Green, Westminster",0.4571428571428572,0.09285714285714286,93
"Abingdon Green, Westminster",17,0.5,"Abingdon Green, Westminster",0.4571428571428572,0.042857142857142816,91
"Abingdon Green, Westminster",18,0.35,"Abingdon Green, Westminster",0.46666666666666673,0.11666666666666675,85
"Abingdon Green, Westminster",19,0.25,"Abingdon Green, Westminster",0.4,0.15000000000000002,74
"Abingdon Green, Westminster",20,0.15,"Abingdon Green, Westminster",0.2,0.05000000000000002,68
"Abingdon Green, Westminster",21,0.125,"Abingdon Green, Westminster",0.5490909090909093,0.4240909090909093,66
"Abingdon Green, Westminster",22,0.1,"Abingdon Green, Westminster",0.2,0.1,61
"Abingdon Green, Westminster",23,0.1,"Abingdon Green, Westminster",0.6000000000000001,0.5000000000000001,60
"Abingdon Villas, Kensington",0,0.4117647058823529,"Abingdon Villas, Kensington",0.4571428571428572,0.04537815126050426,109
"Abingdon Villas, Kensington",1,0.4117647058823529,"Abingdon Villas, Kensington",0.2,0.2117647058823529,110
"Abingdon Villas, Kensington",2,0.4117647058823529,"Abingdon Villas, Kensington",0.2,0.2117647058823529,109
"Abingdon Villas, Kensington",3,0.4117647058823529,"Abingdon Villas, Kensington",0.5,0.08823529411764708,109
"Abingdon Villas, Kensington",4,0.4117647058823529,"Abingdon Villas, Kensington",0.5,0.08823529411764708,110
"Abingdon Villas, Kensington",5,0.4117647058823529,"Abingdon Villas, Kensington",0.2,0.2117647058823529,110
"Abingdon Villas, Kensington",6,0.35294117647058826,"Abingdon Villas, Kensington",0.2,0.15294117647058825,110
"Abingdon Villas, Kensington",7,0.35294117647058826,"Abingdon Villas, Kensington",0.4,0.047058823529411764,109
"Abingdon Villas, Kensington",8,0.35294117647058826,"Abingdon Villas, Kensington",0.5,0.14705882352941174,107
"Abingdon Villas, Kensington",9,0.23529411764705882,"Abingdon Villas, Kensington",0.35000000000000003,0.11470588235294121,97
"Abingdon Villas, Kensington",10,0.17647058823529413,"Abingdon Villas, Kensington",0.4,0.2235294117647059,94
"Abingdon Villas, Kensington",11,0.23529411764705882,"Abingdon Villas, Kensington",0.44000000000000006,0.20470588235294124,93
"Abingdon Villas, Kensington",12,0.17647058823529413,"Abingdon Villas, Kensington",0.49620253164556966,0.31973194341027555,95
"Abingdon Villas, Kensington",13,0.17647058823529413,"Abingdon Villas, Kensington",0.5000000000000004,0.3235294117647063,96
"Abingdon Villas, Kensington",14,0.20588235294117646,"Abingdon Villas, Kensington",0.5,0.29411764705882354,96
"Abingdon Villas, Kensington",15,0.23529411764705882,"Abingdon Villas, Kensington",0.5,0.2647058823529412,98
"Abingdon Villas, Kensington",16,0.23529411764705882,"Abingdon Villas, Kensington",0.56,0.32470588235294123,99
"Abingdon Villas, Kensington",17,0.23529411764705882,"Abingdon Villas, Kensington",0.5,0.2647058823529412,102
"Abingdon Villas, Kensington",18,0.23529411764705882,"Abingdon Villas, Kensington",0.56,0.32470588235294123,104
"Abingdon Villas, Kensington",19,0.29411764705882354,"Abingdon Villas, Kensington",0.6500000000000001,0.3558823529411766,104
"Abingdon Villas, Kensington",20,0.29411764705882354,"Abingdon Villas, Kensington",0.6500000000000001,0.3558823529411766,107
"Abingdon Villas, Kensington",21,0.35294117647058826,"Abingdon Villas, Kensington",0.5,0.14705882352941174,106
"Abingdon Villas, Kensington",22,0.4117647058823529,"Abingdon Villas, Kensington",0.35652173913043483,0.05524296675191809,107
"Abingdon Villas, Kensington",23,0.4117647058823529,"Abingdon Villas, Kensington",0.4727272727272729,0.06096256684491996,108
"Ackroyd Drive, Bow",0,0.6206896551724138,"Ackroyd Drive, Bow",0.5692307692307693,0.051458885941644494,64
"Ackroyd Drive, Bow",1,0.6551724137931034,"Ackroyd Drive, Bow",0.8,0.14482758620689662,65
"Ackroyd Drive, Bow",2,0.6551724137931034,"Ackroyd Drive, Bow",0.2,0.4551724137931034,64
"Ackroyd Drive, Bow",3,0.6551724137931034,"Ackroyd Drive, Bow",0.5000000000000001,0.15517241379310331,64
"Ackroyd Drive, Bow",4,0.6551724137931034,"Ackroyd Drive, Bow",0.5,0.15517241379310343,63
"Ackroyd Drive, Bow",5,0.6551724137931034,"Ackroyd Drive, Bow",0.2,0.4551724137931034,63
"Ackroyd Drive, Bow",6,0.6379310344827587,"Ackroyd Drive, Bow",0.6000000000000001,0.037931034482758585,62
"Ackroyd Drive, Bow",7,0.5172413793103449,"Ackroyd Drive, Bow",0.5428571428571429,0.025615763546798065,61
"Ackroyd Drive, Bow",8,0.39655172413793105,"Ackroyd Drive, Bow",0.4985074626865673,0.10195573854863627,58
"Ackroyd Drive, Bow",9,0.20689655172413793,"Ackroyd Drive, Bow",0.44000000000000006,0.23310344827586213,54
"Ackroyd Drive, Bow",10,0.1724137931034483,"Ackroyd Drive, Bow",0.4,0.22758620689655173,45
"Ackroyd Drive, Bow",11,0.13793103448275862,"Ackroyd Drive, Bow",0.5000000000000003,0.3620689655172417,46
"Ackroyd Drive, Bow",12,0.13793103448275862,"Ackroyd Drive, Bow",0.44000000000000006,0.30206896551724144,42
"Ackroyd Drive, Bow",13,0.10344827586206896,"Ackroyd Drive, Bow",0.5,0.39655172413793105,44
"Ackroyd Drive, Bow",14,0.10344827586206896,"Ackroyd Drive, Bow",0.4686567164179104,0.36520844055584145,52
"Ackroyd Drive, Bow",15,0.13793103448275862,"Ackroyd Drive, Bow",0.5,0.3620689655172414,50
"Ackroyd Drive, Bow",16,0.13793103448275862,"Ackroyd Drive, Bow",0.5,0.3620689655172414,54
"Ackroyd Drive, Bow",17,0.13793103448275862,"Ackroyd Drive, Bow",0.5428571428571429,0.4049261083743843,57
"Ackroyd Drive, Bow",18,0.1724137931034483,"Ackroyd Drive, Bow",0.5,0.3275862068965517,57
"Ackroyd Drive, Bow",19,0.27586206896551724,"Ackroyd Drive, Bow",0.5310344827586208,0.2551724137931035,56
"Ackroyd Drive, Bow",20,0.3448275862068966,"Ackroyd Drive, Bow",0.4435643564356436,0.09873677022874705,56
"Ackroyd Drive, Bow",21,0.41379310344827586,"Ackroyd Drive, Bow",0.5750000000000001,0.1612068965517242,54
"Ackroyd Drive, Bow",22,0.4827586206896552,"Ackroyd Drive, Bow",0.6064516129032258,0.12369299221357061,55
"Ackroyd Drive, Bow",23,0.5689655172413792,"Ackroyd Drive, Bow",0.5625000000000001,0.006465517241379115,56
"Ada Street, Hackney Central",0,0.26666666666666666,"Ada Street, Hackney Central",0.2,0.06666666666666665,103
"Ada Street, Hackney Central",1,0.26666666666666666,"Ada Street, Hackney Central",0.2,0.06666666666666665,103
"Ada Street, Hackney Central",2,0.26666666666666666,"Ada Street, Hackney Central",0.8,0.5333333333333334,103
"Ada Street, Hackney Central",3,0.26666666666666666,"Ada Street, Hackney Central",0.2,0.06666666666666665,103
"Ada Street, Hackney Central",4,0.26666666666666666,"Ada Street, Hackney Central",0.5,0.23333333333333334,103
"Ada Street, Hackney Central",5,0.26666666666666666,"Ada Street, Hackney Central",0.5,0.23333333333333334,103
"Ada Street, Hackney Central",6,0.26666666666666666,"Ada Street, Hackney Central",0.2,0.06666666666666665,103
"Ada Street, Hackney Central",7,0.24444444444444444,"Ada Street, Hackney Central",0.37910447761194044,0.134660033167496,103
"Ada Street, Hackney Central",8,0.2,"Ada Street, Hackney Central",0.39672131147541007,0.19672131147541005,102
"Ada Street, Hackney Central",9,0.15555555555555556,"Ada Street, Hackney Central",0.3558441558441561,0.20028860028860052,103
"Ada Street, Hackney Central",10,0.15555555555555556,"Ada Street, Hackney Central",0.5931034482758621,0.4375478927203066,99
"Ada Street, Hackney Central",11,0.15555555555555556,"Ada Street, Hackney Central",0.5272727272727273,0.3717171717171718,102
"Ada Street, Hackney Central",12,0.15555555555555556,"Ada Street, Hackney Central",0.5,0.34444444444444444,102
"Ada Street, Hackney Central",13,0.15555555555555556,"Ada Street, Hackney Central",0.5333333333333339,0.3777777777777783,103
"Ada Street, Hackney Central",14,0.15555555555555556,"Ada Street, Hackney Central",0.5951219512195131,0.4395663956639575,105
"Ada Street, Hackney Central",15,0.15555555555555556,"Ada Street, Hackney Central",0.49032258064516154,0.334767025089606,107
"Ada Street, Hackney Central",16,0.13333333333333333,"Ada Street, Hackney Central",0.45899280575539564,0.3256594724220623,106
"Ada Street, Hackney Central",17,0.13333333333333333,"Ada Street, Hackney Central",0.5302752293577989,0.3969418960244656,103
"Ada Street, Hackney Central",18,0.13333333333333333,"Ada Street, Hackney Central",0.5750000000000001,0.44166666666666676,104
"Ada Street, Hackney Central",19,0.15555555555555556,"Ada Street, Hackney Central",0.5352941176470589,0.37973856209150336,103
"Ada Street, Hackney Central",20,0.2,"Ada Street, Hackney Central",0.6285714285714287,0.42857142857142866,102
