Station,Community
"Moor Street, Soho",1
"Southampton Place, Holborn",2
"St Mary's Hospital, Paddington",1
"Edgware Road Station, Marylebone",1
"Baylis Road, Waterloo",0
"Kennington Road, Vauxhall",0
"Hop Exchange, The Borough",0
"Long Lane , Bermondsey",0
"Finsbury Leisure Centre, St. Luke's",0
"Bethnal Green Road, Shoreditch",0
"Snowsfields, London Bridge",0
"Bermondsey Street, Bermondsey",0
"Pall Mall East, West End",1
"Westminster Pier, Westminster",0
"Northington Street , Holborn",2
"Commercial Street, Shoreditch",0
"Warren Street Station, Euston",2
"Harrowby Street, Marylebone",1
"Southampton Street, Strand",1
"Borough High Street, The Borough",0
"Duke Street Hill, London Bridge",0
"Rochester Row, Westminster",1
"Brushfield Street, Liverpool Street",0
"Strata, Elephant & Castle",0
"Queen Victoria Street, St. Paul's",0
"Great Dover Street, The Borough",0
"Shouldham Street, Marylebone",1
"Elizabeth Bridge, Victoria",1
"Godliman Street, St. Paul's",0
"Graham Street, Angel",2
"Endsleigh Gardens, Euston",2
"Regency Street, Westminster",1
"Tate Modern, Bankside",0
"Frith Street, Soho",1
"Harrington Square 1, Camden Town",2
"Malet Street, Bloomsbury",2
"Fire Brigade Pier, Vauxhall",1
"St. Chad's Street, King's Cross",2
"Southwark Station 2, Southwark",0
"Borough Road, Elephant & Castle",0
"Newton Street, Covent Garden",0
"Tavistock Street, Covent Garden",0
"Waterloo Place, St. James's",1
"Belvedere Road 2, South Bank",0
"Wenlock Road , Hoxton",2
"Birkenhead Street, King's Cross",2
"Wren Street, Holborn",2
"Kennington Station, Kennington",0
"Rodney Road , Walworth",0
"Craven Street, Strand",1
"Ampton Street , Clerkenwell",2
"Percival Street, Finsbury",2
"Wells Street, Fitzrovia",1
"Lower Marsh, Waterloo",0
"Abingdon Green, Westminster",1
"Hyde Park Corner, Hyde Park",1
"Bell Lane, Liverpool Street",0
"Central House, Aldgate",0
"Bankside Mix, Bankside",0
"Waterloo Station 2, Waterloo",0
"Leman Street, Aldgate",0
"St. Katharine's Way, Tower",0
"Park Lane, Mayfair",1
"Porchester Place, Paddington",1
"Leonard Circus , Shoreditch",0
"Murray Grove , Hoxton",0
"Chicheley Street, South Bank",0
"Empire Square, The Borough",0
"Wormwood Street, Liverpool Street",0
"Crawford Street, Marylebone",1
"Hinde Street, Marylebone",1
"Drury Lane, Covent Garden",2
"Bricklayers Arms, Borough",0
"Falkirk Street, Hoxton",0
"St. John Street, Finsbury",2
"Bell Street , Marylebone",1
"South Audley Street, Mayfair",1
"Vincent Street, Pimlico",1
"Great Suffolk Street, The Borough",0
"Union Street, The Borough",0
"Swan Street, The Borough",0
"Bourne Street, Belgravia",1
"Old Street Station, St. Luke's",0
"Windsor Terrace, Hoxton",2
"Tower Wharf, Bermondsey",0
"Soho Square , Soho",1
"Hardwick Street, Clerkenwell",2
"Bedford Way, Bloomsbury",2
"Paddington Street, Marylebone",1
"Eccleston Place, Victoria",1
"Arundel Street, Temple",0
"Golden Lane, Barbican",0
"Hoxton Street, Hoxton",0
"Hatton Wall, Holborn",2
"Hoxton Station, Hoxton",0
"Earnshaw Street , Covent Garden",2
"Clerkenwell Green, Clerkenwell",0
"Pitfield Street Central, Hoxton",0
"Portland Place, Marylebone",1
"Albany Street, The Regent's Park",2
"Palissy Street, Shoreditch",0
"Tooley Street, Bermondsey",0
"Wellington Street , Strand",0
"Lambeth Palace Road, Waterloo",1
"Ossulston Street, Somers Town",2
"Holy Trinity Brompton, Knightsbridge",1
"Great Russell Street, Bloomsbury",2
"Bath Street, St. Luke's",0
"Panton Street, West End",1
"Tachbrook Street, Victoria",1
"Taviton Street, Bloomsbury",2
"Red Lion Square, Holborn",2
"Page Street, Westminster",1
"Vincent Square, Westminster",1
"Doric Way , Somers Town",2
"Walnut Tree Walk, Vauxhall",0
"Argyle Street, Kings Cross",1
"Chadwell Street, Angel",2
"Margery Street, Clerkenwell",2
"Eagle Wharf Road, Hoxton",2
"Baldwin Street, St. Luke's",0
"Breams Buildings, Holborn",0
"Foley Street, Fitzrovia",2
"Albert Gate, Hyde Park",1
"Great Tower Street, Monument",0
"Milroy Walk, South Bank",0
"Webber Street , Southwark",0
"Great Titchfield Street, Fitzrovia",2
"Braham Street, Aldgate",0
"Waterloo Station 3, Waterloo",0
"Bouverie Street, Temple",0
"River Street , Clerkenwell",2
"Claremont Square, Angel",2
"New Kent Road, The Borough",0
"Granby Street, Shoreditch",0
"High Holborn , Covent Garden",2
"Curzon Street, Mayfair",1
"George Street, Marylebone",1
"Beaumont Street, Marylebone",1
"Kennington Cross, Kennington",1
"Brandon Street, Walworth",0
"Lower Thames Street, Monument",0
"Store Street, Bloomsbury",2
"Hampstead Road, Euston",2
"Crosswall, Tower",0
"Sea Containers, South Bank",0
"Seymour Place, Marylebone",1
"Sackville Street, Mayfair",1
"Pont Street, Knightsbridge",1
"Great Percy Street, Clerkenwell",2
"Charlbert Street, St. John's Wood",1
"Gaywood  Street, Elephant & Castle",0
"Whitehall Place, Strand",1
"Ashley Place, Victoria",1
"Lambeth Road, Vauxhall",0
"Queen Street 1, Bank",0
"Monument Street, Monument",0
"Sloane Avenue, Knightsbridge",1
"Archbishop's Park, Waterloo",0
"Poured Lines, Bankside",0
"Curlew Street, Shad Thames",0
"Waterloo Road, South Bank",0
"Sedding Street, Sloane Square",1
"Theobald's Road , Holborn",2
"Worship Street, Shoreditch",0
"Shoreditch High Street, Shoreditch",0
"King Edward Walk, Waterloo",0
"Sadlers Sports Centre, Finsbury",0
"Ontario Street, Elephant & Castle",0
"LSBU (Borough Road), Elephant & Castle",0
"Denyer Street, Knightsbridge",1
"Guilford Street , Bloomsbury",2
"Belgrave Road, Victoria",1
"Hampton Street, Walworth",0
"Christopher Street, Liverpool Street",0
"Old Quebec Street, Marylebone",1
"Drummond Street , Euston",1
"Berry Street, Clerkenwell",0
"Concert Hall Approach 1, South Bank",0
"Russell Square Station, Bloomsbury",2
"Good's Way, King's Cross",2
"Black Prince Road, Vauxhall",0
"New Globe Walk, Bankside",0
"Barbican Centre, Barbican",0
"New North Road 2, Hoxton",2
"Seville Street, Knightsbridge",1
"Cartwright Gardens , Bloomsbury",2
"Belvedere Road 1, South Bank",0
"Red Lion Street, Holborn",2
"Aldersgate Street, Barbican",0
"Columbia Road, Shoreditch",0
"Crimscott Street, Bermondsey",0
"Temple Gardens, Temple",1
"Brunswick Square, Bloomsbury",2
"Sun Street, Liverpool Street",0
"Dorset Square, Marylebone",1
"St. Martin's Street, West End",1
"Tanner Street, Bermondsey",0
"Eversholt Street , Camden Town",2
"New Cavendish Street, Marylebone",1
"Little Argyll Street, West End",1
"Pancras Road, King's Cross",2
"Montpelier Street, Knightsbridge",1
"Charlotte Street, Fitzrovia",2
"Macclesfield Rd, St Lukes",2
