Station,Community
"Moor Street, Soho",1
"Southampton Place, Holborn",1
"St Mary's Hospital, Paddington",1
"Edgware Road Station, Marylebone",1
"Baylis Road, Waterloo",3
"Kennington Road, Vauxhall",3
"Hop Exchange, The Borough",3
"Long Lane , Bermondsey",3
"Finsbury Leisure Centre, St. Luke's",0
"Bethnal Green Road, Shoreditch",0
"Snowsfields, London Bridge",3
"Bermondsey Street, Bermondsey",3
"Pall Mall East, West End",2
"Westminster Pier, Westminster",2
"Northington Street , Holborn",1
"Commercial Street, Shoreditch",0
"Warren Street Station, Euston",1
"Harrowby Street, Marylebone",1
"Southampton Street, Strand",2
"Borough High Street, The Borough",3
"Duke Street Hill, London Bridge",0
"Rochester Row, Westminster",2
"Brushfield Street, Liverpool Street",0
"Strata, Elephant & Castle",3
"Queen Victoria Street, St. Paul's",0
"Great Dover Street, The Borough",3
"Shouldham Street, Marylebone",1
"Elizabeth Bridge, Victoria",2
"Godliman Street, St. Paul's",0
"Graham Street, Angel",0
"Endsleigh Gardens, Euston",1
"Regency Street, Westminster",2
"Tate Modern, Bankside",3
"Frith Street, Soho",1
"Harrington Square 1, Camden Town",1
"Malet Street, Bloomsbury",1
"Fire Brigade Pier, Vauxhall",2
"St. Chad's Street, King's Cross",1
"Southwark Station 2, Southwark",3
"Borough Road, Elephant & Castle",3
"Newton Street, Covent Garden",0
"Tavistock Street, Covent Garden",1
"Waterloo Place, St. James's",2
"Belvedere Road 2, South Bank",3
"Wenlock Road , Hoxton",0
"Birkenhead Street, King's Cross",1
"Wren Street, Holborn",1
"Kennington Station, Kennington",3
"Rodney Road , Walworth",3
"Craven Street, Strand",2
"Ampton Street , Clerkenwell",1
"Percival Street, Finsbury",0
"Wells Street, Fitzrovia",1
"Lower Marsh, Waterloo",3
"Abingdon Green, Westminster",2
"Hyde Park Corner, Hyde Park",2
"Bell Lane, Liverpool Street",0
"Central House, Aldgate",0
"Bankside Mix, Bankside",3
"Waterloo Station 2, Waterloo",0
"Leman Street, Aldgate",0
"St. Katharine's Way, Tower",0
"Park Lane, Mayfair",2
"Porchester Place, Paddington",1
"Leonard Circus , Shoreditch",0
"Murray Grove , Hoxton",0
"Chicheley Street, South Bank",2
"Empire Square, The Borough",3
"Wormwood Street, Liverpool Street",0
"Crawford Street, Marylebone",1
"Hinde Street, Marylebone",1
"Drury Lane, Covent Garden",1
"Bricklayers Arms, Borough",3
"Falkirk Street, Hoxton",0
"St. John Street, Finsbury",1
"Bell Street , Marylebone",1
"South Audley Street, Mayfair",2
"Vincent Street, Pimlico",2
"Great Suffolk Street, The Borough",3
"Union Street, The Borough",3
"Swan Street, The Borough",3
"Bourne Street, Belgravia",2
"Old Street Station, St. Luke's",0
"Windsor Terrace, Hoxton",0
"Tower Wharf, Bermondsey",0
"Soho Square , Soho",1
"Hardwick Street, Clerkenwell",0
"Bedford Way, Bloomsbury",1
"Paddington Street, Marylebone",1
"Eccleston Place, Victoria",2
"Arundel Street, Temple",0
"Golden Lane, Barbican",0
"Hoxton Street, Hoxton",0
"Hatton Wall, Holborn",0
"Hoxton Station, Hoxton",0
"Earnshaw Street , Covent Garden",1
"Clerkenwell Green, Clerkenwell",0
"Pitfield Street Central, Hoxton",0
"Portland Place, Marylebone",1
"Albany Street, The Regent's Park",1
"Palissy Street, Shoreditch",0
"Tooley Street, Bermondsey",0
"Wellington Street , Strand",3
"Lambeth Palace Road, Waterloo",3
"Ossulston Street, Somers Town",1
"Holy Trinity Brompton, Knightsbridge",2
"Great Russell Street, Bloomsbury",1
"Bath Street, St. Luke's",0
"Panton Street, West End",2
"Tachbrook Street, Victoria",2
"Taviton Street, Bloomsbury",1
"Red Lion Square, Holborn",1
"Page Street, Westminster",2
"Vincent Square, Westminster",2
"Doric Way , Somers Town",1
"Walnut Tree Walk, Vauxhall",3
"Argyle Street, Kings Cross",1
"Chadwell Street, Angel",0
"Margery Street, Clerkenwell",1
"Eagle Wharf Road, Hoxton",0
"Baldwin Street, St. Luke's",0
"Breams Buildings, Holborn",0
"Foley Street, Fitzrovia",1
"Albert Gate, Hyde Park",2
"Great Tower Street, Monument",0
"Milroy Walk, South Bank",3
"Webber Street , Southwark",3
"Great Titchfield Street, Fitzrovia",1
"Braham Street, Aldgate",0
"Waterloo Station 3, Waterloo",0
"Bouverie Street, Temple",0
"River Street , Clerkenwell",0
"Claremont Square, Angel",0
"New Kent Road, The Borough",3
"Granby Street, Shoreditch",0
"High Holborn , Covent Garden",1
"Curzon Street, Mayfair",2
"George Street, Marylebone",1
"Beaumont Street, Marylebone",1
"Kennington Cross, Kennington",3
"Brandon Street, Walworth",3
"Lower Thames Street, Monument",0
"Store Street, Bloomsbury",1
"Hampstead Road, Euston",1
"Crosswall, Tower",0
"Sea Containers, South Bank",0
"Seymour Place, Marylebone",1
"Sackville Street, Mayfair",1
"Pont Street, Knightsbridge",2
"Great Percy Street, Clerkenwell",1
"Charlbert Street, St. John's Wood",1
"Gaywood  Street, Elephant & Castle",3
"Whitehall Place, Strand",2
"Ashley Place, Victoria",2
"Lambeth Road, Vauxhall",3
"Queen Street 1, Bank",0
"Monument Street, Monument",0
"Sloane Avenue, Knightsbridge",2
"Archbishop's Park, Waterloo",3
"Poured Lines, Bankside",3
"Curlew Street, Shad Thames",0
"Waterloo Road, South Bank",3
"Sedding Street, Sloane Square",2
"Theobald's Road , Holborn",1
"Worship Street, Shoreditch",0
"Shoreditch High Street, Shoreditch",0
"King Edward Walk, Waterloo",3
"Sadlers Sports Centre, Finsbury",0
"Ontario Street, Elephant & Castle",3
"LSBU (Borough Road), Elephant & Castle",3
"Denyer Street, Knightsbridge",2
"Guilford Street , Bloomsbury",1
"Belgrave Road, Victoria",2
"Hampton Street, Walworth",3
"Christopher Street, Liverpool Street",0
"Old Quebec Street, Marylebone",1
"Drummond Street , Euston",1
"Berry Street, Clerkenwell",0
"Concert Hall Approach 1, South Bank",0
"Russell Square Station, Bloomsbury",1
"Good's Way, King's Cross",1
"Black Prince Road, Vauxhall",3
"New Globe Walk, Bankside",3
"Barbican Centre, Barbican",0
"New North Road 2, Hoxton",0
"Seville Street, Knightsbridge",2
"Cartwright Gardens , Bloomsbury",1
"Belvedere Road 1, South Bank",0
"Red Lion Street, Holborn",1
"Aldersgate Street, Barbican",0
"Columbia Road, Shoreditch",0
"Crimscott Street, Bermondsey",3
"Temple Gardens, Temple",2
"Brunswick Square, Bloomsbury",1
"Sun Street, Liverpool Street",0
"Dorset Square, Marylebone",1
"St. Martin's Street, West End",2
"Tanner Street, Bermondsey",0
"Eversholt Street , Camden Town",1
"New Cavendish Street, Marylebone",1
"Little Argyll Street, West End",1
"Pancras Road, King's Cross",1
"Montpelier Street, Knightsbridge",2
"Charlotte Street, Fitzrovia",1
"Macclesfield Rd, St Lukes",0
"William IV Street, Strand",1
"Cloudesley Road, Angel",1
"Queen Mother Sports Centre, Victoria",2
"Horseferry Road, Westminster",2
"Mallory Street, Marylebone",1
"Crinan Street, King's Cross",1
"Carey Street, Holborn",0
"Wardour Street, Soho",1
"Fanshaw Street, Hoxton",0
"City Road, Angel",0
"North Audley Street, Mayfair",1
"Rampayne Street, Pimlico",2
"Southwick Street, Paddington",1
"Waterloo Bridge, South Bank",1
"Bunhill Row, Moorgate",0
"Warwick Square, Pimlico",2
"Baker Street, Marylebone",1
"Waterloo Station 1, Waterloo",0
"Walworth Square, Walworth",3
"Newgate Street , St. Paul's",0
"Farringdon Lane, Clerkenwell",0
"Boston Place, Marylebone",1
"Cromer Street, Bloomsbury",1
"Park Road (Baker Street), The Regent's Park",1
"Longford Street, The Regent's Park",1
"Broadley Terrace, Marylebone",1
"Snow Hill, Farringdon",0
"Harper Road, The Borough",3
"Grosvenor Square, Mayfair",2
"Fashion Street, Whitechapel",0
"Blackfriars Road, Southwark",3
"Lollard Street, Vauxhall",3
"Gower Place , Euston",1
"St. James's Square, St. James's",2
"Kings Gate House, Westminster",2
"Farringdon Street, Holborn",0
"Howick Place, Westminster",2
"Euston Road, Euston",1
"Brick Lane Market, Shoreditch",0
"St. Mary Axe, Aldgate",0
"Tower Gardens , Tower",0
"Somerset House, Strand",2
"Tysoe Street, Clerkenwell",0
"Roscoe Street, St. Luke's",0
"Hatton Garden, Holborn",0
"Killick Street, King's Cross",1
"Finsbury Square , Moorgate",0
"Embankment (Savoy), Strand",2
"Strand, Strand",3
"Tallis Street, Temple",0
"Abbey Orchard Street, Westminster",2
"Kingsway Southbound, Strand",3
"Park Street, Bankside",3
"Bolsover Street, Fitzrovia",1
"Harris Academy, Bermondsey",3
"New Inn Yard, Shoreditch",0
"Dickens Square, Borough",3
"Blackfriars Station, St. Paul's",0
"Buxton Street 1, Shoreditch",0
"Greenberry Street, St.John's Wood",1
"Fore Street, Guildhall",0
"Green Park Station, Mayfair",2
"Gloucester Street, Pimlico",2
"Museum of London, Barbican",0
"Victory Place, Walworth",3
"Allington Street, Victoria",2
"Norton Folgate, Liverpool Street",0
"Calshot Street , King's Cross",1
"Tavistock Place, Bloomsbury",1
"Upper Grosvenor Street, Mayfair",1
"Fournier Street, Whitechapel",0
"Finsbury Library , Finsbury",0
"Wellington Row, Bethnal Green",0
"Greycoat Street , Westminster",2
"Lambeth North Station, Waterloo",3
"Buckingham Gate, Westminster",2
"Southwark Street, Bankside",3
"West Smithfield Rotunda, Farringdon",0
"New Fetter Lane, Holborn",0
"Risinghill Street, Angel",1
