commonName,lat,lon,NbDocks,geometry,Station_number,Community,attraction_count,buffer,within_count,intersects_count
"River Street , Clerkenwell",51.529163,-0.10997,19,POINT (700457.6895490855 5712632.1372792665),1023,1,0,"POLYGON ((700957.6895490855 5712632.1372792665, 700955.2819124216 5712583.128709102, 700948.0821892871 5712534.592118259, 700936.1597169515 5712486.9949406395, 700919.6293153411 5712440.795563084, 700898.6501812596 5712396.438910853, 700873.4243552367 5712354.352162757, 700844.1947757668 5712314.940637184, 700811.2429396787 5712278.583888673, 700774.8861911673 5712245.6320525855, 700735.4746655952 5712216.402473115, 700693.3879174985 5712191.176647092, 700649.031265268 5712170.197513011, 700602.8318877127 5712153.6671114005, 700555.2347100935 5712141.744639065, 700506.6981192502 5712134.54491593, 700457.6895490855 5712132.1372792665, 700408.6809789207 5712134.54491593, 700360.1443880774 5712141.744639065, 700312.5472104582 5712153.6671114005, 700266.3478329029 5712170.197513011, 700221.9911806724 5712191.176647092, 700179.9044325757 5712216.402473115, 700140.4929070036 5712245.6320525855, 700104.1361584922 5712278.583888673, 700071.1843224041 5712314.940637184, 700041.9547429342 5712354.352162757, 700016.7289169113 5712396.438910853, 699995.7497828298 5712440.795563084, 699979.2193812194 5712486.9949406395, 699967.2969088838 5712534.592118259, 699960.0971857493 5712583.128709102, 699957.6895490855 5712632.1372792665, 699960.0971857493 5712681.145849431, 699967.2969088838 5712729.682440274, 699979.2193812194 5712777.2796178935, 699995.7497828298 5712823.478995449, 700016.7289169113 5712867.83564768, 700041.9547429342 5712909.922395776, 700071.1843224041 5712949.333921349, 700104.1361584922 5712985.69066986, 700140.4929070036 5713018.6425059475, 700179.9044325757 5713047.872085418, 700221.9911806724 5713073.097911441, 700266.3478329029 5713094.077045522, 700312.5472104582 5713110.6074471325, 700360.1443880774 5713122.529919468, 700408.6809789207 5713129.729642603, 700457.6895490855 5713132.1372792665, 700506.6981192502 5713129.729642603, 700555.2347100935 5713122.529919468, 700602.8318877127 5713110.6074471325, 700649.031265268 5713094.077045522, 700693.3879174985 5713073.097911441, 700735.4746655952 5713047.872085418, 700774.8861911673 5713018.6425059475, 700811.2429396787 5712985.69066986, 700844.1947757668 5712949.333921349, 700873.4243552367 5712909.922395776, 700898.6501812596 5712867.83564768, 700919.6293153411 5712823.478995449, 700936.1597169515 5712777.2796178935, 700948.0821892871 5712729.682440274, 700955.2819124216 5712681.145849431, 700957.6895490855 5712632.1372792665))",0,0
"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1012,1,0,"POLYGON ((702751.640902797 5711825.858795362, 702749.2332661331 5711776.850225197, 702742.0335429986 5711728.313634354, 702730.1110706631 5711680.716456735, 702713.5806690527 5711634.517079179, 702692.6015349712 5711590.160426948, 702667.3757089482 5711548.073678852, 702638.1461294784 5711508.662153279, 702605.1942933903 5711472.305404768, 702568.8375448788 5711439.353568681, 702529.4260193068 5711410.12398921, 702487.33927121 5711384.898163187, 702442.9826189795 5711363.919029106, 702396.7832414242 5711347.388627496, 702349.186063805 5711335.46615516, 702300.6494729618 5711328.2664320255, 702251.640902797 5711325.858795362, 702202.6323326322 5711328.2664320255, 702154.095741789 5711335.46615516, 702106.4985641697 5711347.388627496, 702060.2991866145 5711363.919029106, 702015.942534384 5711384.898163187, 701973.8557862872 5711410.12398921, 701934.4442607152 5711439.353568681, 701898.0875122037 5711472.305404768, 701865.1356761156 5711508.662153279, 701835.9060966457 5711548.073678852, 701810.6802706228 5711590.160426948, 701789.7011365413 5711634.517079179, 701773.1707349309 5711680.716456735, 701761.2482625954 5711728.313634354, 701754.0485394609 5711776.850225197, 701751.640902797 5711825.858795362, 701754.0485394609 5711874.867365526, 701761.2482625954 5711923.4039563695, 701773.1707349309 5711971.001133989, 701789.7011365413 5712017.200511544, 701810.6802706228 5712061.557163775, 701835.9060966457 5712103.643911871, 701865.1356761156 5712143.055437444, 701898.0875122037 5712179.412185955, 701934.4442607152 5712212.364022043, 701973.8557862872 5712241.593601513, 702015.942534384 5712266.819427536, 702060.2991866145 5712287.798561617, 702106.4985641697 5712304.328963228, 702154.095741789 5712316.251435563, 702202.6323326322 5712323.451158698, 702251.640902797 5712325.858795362, 702300.6494729618 5712323.451158698, 702349.186063805 5712316.251435563, 702396.7832414242 5712304.328963228, 702442.9826189795 5712287.798561617, 702487.33927121 5712266.819427536, 702529.4260193068 5712241.593601513, 702568.8375448788 5712212.364022043, 702605.1942933903 5712179.412185955, 702638.1461294784 5712143.055437444, 702667.3757089482 5712103.643911871, 702692.6015349712 5712061.557163775, 702713.5806690527 5712017.200511544, 702730.1110706631 5711971.001133989, 702742.0335429986 5711923.4039563695, 702749.2332661331 5711874.867365526, 702751.640902797 5711825.858795362))",0,0
"St. Chad's Street, King's Cross",51.530059,-0.120973,23,POINT (699690.7244891608 5712701.654961897),1013,0,0,"POLYGON ((700190.7244891608 5712701.654961897, 700188.3168524969 5712652.646391733, 700181.1171293624 5712604.109800889, 700169.1946570269 5712556.51262327, 700152.6642554165 5712510.313245715, 700131.685121335 5712465.956593484, 700106.4592953121 5712423.8698453875, 700077.2297158422 5712384.458319815, 700044.2778797541 5712348.101571304, 700007.9211312426 5712315.149735216, 699968.5096056706 5712285.920155746, 699926.4228575738 5712260.694329723, 699882.0662053433 5712239.715195642, 699835.8668277881 5712223.184794031, 699788.2696501688 5712211.262321696, 699739.7330593256 5712204.062598561, 699690.7244891608 5712201.654961897, 699641.715918996 5712204.062598561, 699593.1793281528 5712211.262321696, 699545.5821505336 5712223.184794031, 699499.3827729783 5712239.715195642, 699455.0261207478 5712260.694329723, 699412.939372651 5712285.920155746, 699373.527847079 5712315.149735216, 699337.1710985675 5712348.101571304, 699304.2192624795 5712384.458319815, 699274.9896830096 5712423.8698453875, 699249.7638569867 5712465.956593484, 699228.7847229051 5712510.313245715, 699212.2543212947 5712556.51262327, 699200.3318489592 5712604.109800889, 699193.1321258247 5712652.646391733, 699190.7244891608 5712701.654961897, 699193.1321258247 5712750.6635320615, 699200.3318489592 5712799.200122905, 699212.2543212947 5712846.797300524, 699228.7847229051 5712892.9966780795, 699249.7638569867 5712937.35333031, 699274.9896830096 5712979.440078407, 699304.2192624795 5713018.851603979, 699337.1710985675 5713055.20835249, 699373.527847079 5713088.160188578, 699412.939372651 5713117.389768048, 699455.0261207478 5713142.615594071, 699499.3827729783 5713163.594728152, 699545.5821505336 5713180.125129763, 699593.1793281528 5713192.047602098, 699641.715918996 5713199.247325233, 699690.7244891608 5713201.654961897, 699739.7330593256 5713199.247325233, 699788.2696501688 5713192.047602098, 699835.8668277881 5713180.125129763, 699882.0662053433 5713163.594728152, 699926.4228575738 5713142.615594071, 699968.5096056706 5713117.389768048, 700007.9211312426 5713088.160188578, 700044.2778797541 5713055.20835249, 700077.2297158422 5713018.851603979, 700106.4592953121 5712979.440078407, 700131.685121335 5712937.35333031, 700152.6642554165 5712892.9966780795, 700169.1946570269 5712846.797300524, 700181.1171293624 5712799.200122905, 700188.3168524969 5712750.6635320615, 700190.7244891608 5712701.654961897))",2,3
"Sedding Street, Sloane Square",51.49313,-0.156876,27,POINT (697360.5455241217 5708498.365484301),3420,3,0,"POLYGON ((697860.5455241217 5708498.365484301, 697858.1378874579 5708449.356914137, 697850.9381643233 5708400.820323293, 697839.0156919878 5708353.223145674, 697822.4852903774 5708307.023768119, 697801.5061562959 5708262.667115888, 697776.280330273 5708220.5803677915, 697747.0507508031 5708181.168842219, 697714.098914715 5708144.812093708, 697677.7421662036 5708111.86025762, 697638.3306406315 5708082.63067815, 697596.2438925348 5708057.404852127, 697551.8872403043 5708036.425718046, 697505.687862749 5708019.895316435, 697458.0906851297 5708007.9728441, 697409.5540942865 5708000.773120965, 697360.5455241217 5707998.365484301, 697311.5369539569 5708000.773120965, 697263.0003631137 5708007.9728441, 697215.4031854945 5708019.895316435, 697169.2038079392 5708036.425718046, 697124.8471557087 5708057.404852127, 697082.760407612 5708082.63067815, 697043.3488820399 5708111.86025762, 697006.9921335285 5708144.812093708, 696974.0402974404 5708181.168842219, 696944.8107179705 5708220.5803677915, 696919.5848919476 5708262.667115888, 696898.605757866 5708307.023768119, 696882.0753562556 5708353.223145674, 696870.1528839201 5708400.820323293, 696862.9531607856 5708449.356914137, 696860.5455241217 5708498.365484301, 696862.9531607856 5708547.374054465, 696870.1528839201 5708595.910645309, 696882.0753562556 5708643.507822928, 696898.605757866 5708689.707200483, 696919.5848919476 5708734.063852714, 696944.8107179705 5708776.150600811, 696974.0402974404 5708815.562126383, 697006.9921335285 5708851.918874894, 697043.3488820399 5708884.870710982, 697082.760407612 5708914.100290452, 697124.8471557087 5708939.326116475, 697169.2038079392 5708960.305250556, 697215.4031854945 5708976.835652167, 697263.0003631137 5708988.758124502, 697311.5369539569 5708995.957847637, 697360.5455241217 5708998.365484301, 697409.5540942865 5708995.957847637, 697458.0906851297 5708988.758124502, 697505.687862749 5708976.835652167, 697551.8872403043 5708960.305250556, 697596.2438925348 5708939.326116475, 697638.3306406315 5708914.100290452, 697677.7421662036 5708884.870710982, 697714.098914715 5708851.918874894, 697747.0507508031 5708815.562126383, 697776.280330273 5708776.150600811, 697801.5061562959 5708734.063852714, 697822.4852903774 5708689.707200483, 697839.0156919878 5708643.507822928, 697850.9381643233 5708595.910645309, 697858.1378874579 5708547.374054465, 697860.5455241217 5708498.365484301))",1,2
"Broadcasting House, Marylebone",51.518117,-0.144228,18,POINT (698129.9010837389 5711310.670292128),3424,0,0,"POLYGON ((698629.9010837389 5711310.670292128, 698627.493447075 5711261.661721963, 698620.2937239405 5711213.12513112, 698608.371251605 5711165.527953501, 698591.8408499946 5711119.328575945, 698570.861715913 5711074.9719237145, 698545.6358898901 5711032.885175618, 698516.4063104203 5710993.473650046, 698483.4544743322 5710957.116901535, 698447.0977258207 5710924.165065447, 698407.6862002487 5710894.935485977, 698365.5994521519 5710869.709659954, 698321.2427999214 5710848.730525873, 698275.0434223661 5710832.200124262, 698227.4462447469 5710820.2776519265, 698178.9096539037 5710813.077928792, 698129.9010837389 5710810.670292128, 698080.8925135741 5710813.077928792, 698032.3559227309 5710820.2776519265, 697984.7587451116 5710832.200124262, 697938.5593675564 5710848.730525873, 697894.2027153259 5710869.709659954, 697852.1159672291 5710894.935485977, 697812.704441657 5710924.165065447, 697776.3476931456 5710957.116901535, 697743.3958570575 5710993.473650046, 697714.1662775876 5711032.885175618, 697688.9404515647 5711074.9719237145, 697667.9613174832 5711119.328575945, 697651.4309158728 5711165.527953501, 697639.5084435373 5711213.12513112, 697632.3087204028 5711261.661721963, 697629.9010837389 5711310.670292128, 697632.3087204028 5711359.678862292, 697639.5084435373 5711408.215453136, 697651.4309158728 5711455.812630755, 697667.9613174832 5711502.01200831, 697688.9404515647 5711546.368660541, 697714.1662775876 5711588.455408637, 697743.3958570575 5711627.86693421, 697776.3476931456 5711664.223682721, 697812.704441657 5711697.175518809, 697852.1159672291 5711726.405098279, 697894.2027153259 5711751.630924302, 697938.5593675564 5711772.610058383, 697984.7587451116 5711789.140459994, 698032.3559227309 5711801.062932329, 698080.8925135741 5711808.262655464, 698129.9010837389 5711810.670292128, 698178.9096539037 5711808.262655464, 698227.4462447469 5711801.062932329, 698275.0434223661 5711789.140459994, 698321.2427999214 5711772.610058383, 698365.5994521519 5711751.630924302, 698407.6862002487 5711726.405098279, 698447.0977258207 5711697.175518809, 698483.4544743322 5711664.223682721, 698516.4063104203 5711627.86693421, 698545.6358898901 5711588.455408637, 698570.861715913 5711546.368660541, 698591.8408499946 5711502.01200831, 698608.371251605 5711455.812630755, 698620.2937239405 5711408.215453136, 698627.493447075 5711359.678862292, 698629.9010837389 5711310.670292128))",1,1
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,POINT (696406.1191667509 5713045.626331833),3422,0,0,"POLYGON ((696906.1191667509 5713045.626331833, 696903.711530087 5712996.617761669, 696896.5118069525 5712948.081170825, 696884.589334617 5712900.483993206, 696868.0589330066 5712854.284615651, 696847.0797989251 5712809.92796342, 696821.8539729022 5712767.841215324, 696792.6243934323 5712728.429689751, 696759.6725573442 5712692.07294124, 696723.3158088328 5712659.121105152, 696683.9042832607 5712629.891525682, 696641.817535164 5712604.665699659, 696597.4608829335 5712583.686565578, 696551.2615053782 5712567.156163967, 696503.664327759 5712555.233691632, 696455.1277369157 5712548.033968497, 696406.1191667509 5712545.626331833, 696357.1105965861 5712548.033968497, 696308.5740057429 5712555.233691632, 696260.9768281237 5712567.156163967, 696214.7774505684 5712583.686565578, 696170.4207983379 5712604.665699659, 696128.3340502412 5712629.891525682, 696088.9225246691 5712659.121105152, 696052.5657761577 5712692.07294124, 696019.6139400696 5712728.429689751, 695990.3843605997 5712767.841215324, 695965.1585345768 5712809.92796342, 695944.1794004953 5712854.284615651, 695927.6489988848 5712900.483993206, 695915.7265265493 5712948.081170825, 695908.5268034148 5712996.617761669, 695906.1191667509 5713045.626331833, 695908.5268034148 5713094.634901998, 695915.7265265493 5713143.171492841, 695927.6489988848 5713190.76867046, 695944.1794004953 5713236.968048016, 695965.1585345768 5713281.324700247, 695990.3843605997 5713323.411448343, 696019.6139400696 5713362.822973915, 696052.5657761577 5713399.179722426, 696088.9225246691 5713432.131558514, 696128.3340502412 5713461.361137984, 696170.4207983379 5713486.5869640075, 696214.7774505684 5713507.566098088, 696260.9768281237 5713524.096499699, 696308.5740057429 5713536.018972035, 696357.1105965861 5713543.218695169, 696406.1191667509 5713545.626331833, 696455.1277369157 5713543.218695169, 696503.664327759 5713536.018972035, 696551.2615053782 5713524.096499699, 696597.4608829335 5713507.566098088, 696641.817535164 5713486.5869640075, 696683.9042832607 5713461.361137984, 696723.3158088328 5713432.131558514, 696759.6725573442 5713399.179722426, 696792.6243934323 5713362.822973915, 696821.8539729022 5713323.411448343, 696847.0797989251 5713281.324700247, 696868.0589330066 5713236.968048016, 696884.589334617 5713190.76867046, 696896.5118069525 5713143.171492841, 696903.711530087 5713094.634901998, 696906.1191667509 5713045.626331833))",1,1
"New Globe Walk, Bankside",51.507385,-0.09644,19,POINT (701492.1098577491 5710247.99872348),1015,2,0,"POLYGON ((701992.1098577491 5710247.99872348, 701989.7022210852 5710198.9901533155, 701982.5024979507 5710150.453562472, 701970.5800256152 5710102.856384853, 701954.0496240048 5710056.6570072975, 701933.0704899232 5710012.300355067, 701907.8446639003 5709970.21360697, 701878.6150844304 5709930.802081398, 701845.6632483423 5709894.445332887, 701809.3064998309 5709861.493496799, 701769.8949742588 5709832.263917329, 701727.8082261621 5709807.038091306, 701683.4515739316 5709786.058957225, 701637.2521963763 5709769.528555614, 701589.6550187571 5709757.606083279, 701541.1184279139 5709750.406360144, 701492.1098577491 5709747.99872348, 701443.1012875843 5709750.406360144, 701394.564696741 5709757.606083279, 701346.9675191218 5709769.528555614, 701300.7681415665 5709786.058957225, 701256.411489336 5709807.038091306, 701214.3247412393 5709832.263917329, 701174.9132156672 5709861.493496799, 701138.5564671558 5709894.445332887, 701105.6046310677 5709930.802081398, 701076.3750515978 5709970.21360697, 701051.1492255749 5710012.300355067, 701030.1700914934 5710056.6570072975, 701013.639689883 5710102.856384853, 701001.7172175475 5710150.453562472, 700994.517494413 5710198.9901533155, 700992.1098577491 5710247.99872348, 700994.517494413 5710297.007293644, 701001.7172175475 5710345.543884488, 701013.639689883 5710393.141062107, 701030.1700914934 5710439.340439662, 701051.1492255749 5710483.697091893, 701076.3750515978 5710525.783839989, 701105.6046310677 5710565.195365562, 701138.5564671558 5710601.552114073, 701174.9132156672 5710634.503950161, 701214.3247412393 5710663.733529631, 701256.411489336 5710688.959355654, 701300.7681415665 5710709.938489735, 701346.9675191218 5710726.468891346, 701394.564696741 5710738.391363681, 701443.1012875843 5710745.591086816, 701492.1098577491 5710747.99872348, 701541.1184279139 5710745.591086816, 701589.6550187571 5710738.391363681, 701637.2521963763 5710726.468891346, 701683.4515739316 5710709.938489735, 701727.8082261621 5710688.959355654, 701769.8949742588 5710663.733529631, 701809.3064998309 5710634.503950161, 701845.6632483423 5710601.552114073, 701878.6150844304 5710565.195365562, 701907.8446639003 5710525.783839989, 701933.0704899232 5710483.697091893, 701954.0496240048 5710439.340439662, 701970.5800256152 5710393.141062107, 701982.5024979507 5710345.543884488, 701989.7022210852 5710297.007293644, 701992.1098577491 5710247.99872348))",4,4
"Park Street, Bankside",51.505974,-0.092754,18,POINT (701754.0854808401 5710101.280816227),1024,2,0,"POLYGON ((702254.0854808401 5710101.280816227, 702251.6778441762 5710052.272246063, 702244.4781210417 5710003.735655219, 702232.5556487062 5709956.1384776, 702216.0252470957 5709909.939100045, 702195.0461130142 5709865.582447814, 702169.8202869913 5709823.495699718, 702140.5907075214 5709784.084174145, 702107.6388714333 5709747.727425634, 702071.2821229219 5709714.775589546, 702031.8705973498 5709685.546010076, 701989.7838492531 5709660.320184053, 701945.4271970226 5709639.341049972, 701899.2278194673 5709622.810648361, 701851.6306418481 5709610.888176026, 701803.0940510049 5709603.688452891, 701754.0854808401 5709601.280816227, 701705.0769106753 5709603.688452891, 701656.540319832 5709610.888176026, 701608.9431422128 5709622.810648361, 701562.7437646575 5709639.341049972, 701518.387112427 5709660.320184053, 701476.3003643303 5709685.546010076, 701436.8888387582 5709714.775589546, 701400.5320902468 5709747.727425634, 701367.5802541587 5709784.084174145, 701338.3506746888 5709823.495699718, 701313.1248486659 5709865.582447814, 701292.1457145844 5709909.939100045, 701275.615312974 5709956.1384776, 701263.6928406385 5710003.735655219, 701256.4931175039 5710052.272246063, 701254.0854808401 5710101.280816227, 701256.4931175039 5710150.289386392, 701263.6928406385 5710198.825977235, 701275.615312974 5710246.423154854, 701292.1457145844 5710292.62253241, 701313.1248486659 5710336.979184641, 701338.3506746888 5710379.065932737, 701367.5802541587 5710418.477458309, 701400.5320902468 5710454.83420682, 701436.8888387582 5710487.786042908, 701476.3003643303 5710517.015622378, 701518.387112427 5710542.2414484015, 701562.7437646575 5710563.220582482, 701608.9431422128 5710579.750984093, 701656.540319832 5710591.673456429, 701705.0769106753 5710598.873179563, 701754.0854808401 5710601.280816227, 701803.0940510049 5710598.873179563, 701851.6306418481 5710591.673456429, 701899.2278194673 5710579.750984093, 701945.4271970226 5710563.220582482, 701989.7838492531 5710542.2414484015, 702031.8705973498 5710517.015622378, 702071.2821229219 5710487.786042908, 702107.6388714333 5710454.83420682, 702140.5907075214 5710418.477458309, 702169.8202869913 5710379.065932737, 702195.0461130142 5710336.979184641, 702216.0252470957 5710292.62253241, 702232.5556487062 5710246.423154854, 702244.4781210417 5710198.825977235, 702251.6778441762 5710150.289386392, 702254.0854808401 5710101.280816227))",7,9
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,POINT (699611.4163656881 5712018.380143867),1022,0,0,"POLYGON ((700111.4163656881 5712018.380143867, 700109.0087290242 5711969.371573702, 700101.8090058897 5711920.834982859, 700089.8865335542 5711873.23780524, 700073.3561319438 5711827.038427684, 700052.3769978622 5711782.6817754535, 700027.1511718393 5711740.595027357, 699997.9215923694 5711701.183501785, 699964.9697562814 5711664.826753274, 699928.6130077699 5711631.874917186, 699889.2014821979 5711602.645337716, 699847.1147341011 5711577.419511693, 699802.7580818706 5711556.440377612, 699756.5587043153 5711539.909976001, 699708.9615266961 5711527.9875036655, 699660.4249358529 5711520.787780531, 699611.4163656881 5711518.380143867, 699562.4077955233 5711520.787780531, 699513.8712046801 5711527.9875036655, 699466.2740270608 5711539.909976001, 699420.0746495056 5711556.440377612, 699375.7179972751 5711577.419511693, 699333.6312491783 5711602.645337716, 699294.2197236062 5711631.874917186, 699257.8629750948 5711664.826753274, 699224.9111390067 5711701.183501785, 699195.6815595368 5711740.595027357, 699170.4557335139 5711782.6817754535, 699149.4765994324 5711827.038427684, 699132.946197822 5711873.23780524, 699121.0237254865 5711920.834982859, 699113.824002352 5711969.371573702, 699111.4163656881 5712018.380143867, 699113.824002352 5712067.388714031, 699121.0237254865 5712115.925304875, 699132.946197822 5712163.522482494, 699149.4765994324 5712209.721860049, 699170.4557335139 5712254.07851228, 699195.6815595368 5712296.165260376, 699224.9111390067 5712335.576785949, 699257.8629750948 5712371.93353446, 699294.2197236062 5712404.885370548, 699333.6312491783 5712434.114950018, 699375.7179972751 5712459.340776041, 699420.0746495056 5712480.319910122, 699466.2740270608 5712496.850311733, 699513.8712046801 5712508.772784068, 699562.4077955233 5712515.972507203, 699611.4163656881 5712518.380143867, 699660.4249358529 5712515.972507203, 699708.9615266961 5712508.772784068, 699756.5587043153 5712496.850311733, 699802.7580818706 5712480.319910122, 699847.1147341011 5712459.340776041, 699889.2014821979 5712434.114950018, 699928.6130077699 5712404.885370548, 699964.9697562814 5712371.93353446, 699997.9215923694 5712335.576785949, 700027.1511718393 5712296.165260376, 700052.3769978622 5712254.07851228, 700073.3561319438 5712209.721860049, 700089.8865335542 5712163.522482494, 700101.8090058897 5712115.925304875, 700109.0087290242 5712067.388714031, 700111.4163656881 5712018.380143867))",2,2
"Malet Street, Bloomsbury",51.52168,-0.130431,49,POINT (699071.3953932829 5711744.275086651),980,0,0,"POLYGON ((699571.3953932829 5711744.275086651, 699568.987756619 5711695.266516486, 699561.7880334845 5711646.729925643, 699549.865561149 5711599.132748024, 699533.3351595385 5711552.933370468, 699512.356025457 5711508.576718237, 699487.1301994341 5711466.489970141, 699457.9006199642 5711427.078444568, 699424.9487838761 5711390.721696057, 699388.5920353647 5711357.76985997, 699349.1805097926 5711328.5402804995, 699307.0937616959 5711303.314454476, 699262.7371094654 5711282.335320395, 699216.5377319101 5711265.804918785, 699168.9405542909 5711253.882446449, 699120.4039634477 5711246.6827233145, 699071.3953932829 5711244.275086651, 699022.3868231181 5711246.6827233145, 698973.8502322749 5711253.882446449, 698926.2530546556 5711265.804918785, 698880.0536771003 5711282.335320395, 698835.6970248698 5711303.314454476, 698793.6102767731 5711328.5402804995, 698754.198751201 5711357.76985997, 698717.8420026896 5711390.721696057, 698684.8901666015 5711427.078444568, 698655.6605871316 5711466.489970141, 698630.4347611087 5711508.576718237, 698609.4556270272 5711552.933370468, 698592.9252254168 5711599.132748024, 698581.0027530813 5711646.729925643, 698573.8030299468 5711695.266516486, 698571.3953932829 5711744.275086651, 698573.8030299468 5711793.283656815, 698581.0027530813 5711841.8202476585, 698592.9252254168 5711889.417425278, 698609.4556270272 5711935.616802833, 698630.4347611087 5711979.973455064, 698655.6605871316 5712022.06020316, 698684.8901666015 5712061.471728733, 698717.8420026896 5712097.828477244, 698754.198751201 5712130.780313332, 698793.6102767731 5712160.009892802, 698835.6970248698 5712185.235718825, 698880.0536771003 5712206.214852906, 698926.2530546556 5712222.745254517, 698973.8502322749 5712234.667726852, 699022.3868231181 5712241.867449987, 699071.3953932829 5712244.275086651, 699120.4039634477 5712241.867449987, 699168.9405542909 5712234.667726852, 699216.5377319101 5712222.745254517, 699262.7371094654 5712206.214852906, 699307.0937616959 5712185.235718825, 699349.1805097926 5712160.009892802, 699388.5920353647 5712130.780313332, 699424.9487838761 5712097.828477244, 699457.9006199642 5712061.471728733, 699487.1301994341 5712022.06020316, 699512.356025457 5711979.973455064, 699533.3351595385 5711935.616802833, 699549.865561149 5711889.417425278, 699561.7880334845 5711841.8202476585, 699568.987756619 5711793.283656815, 699571.3953932829 5711744.275086651))",1,1
"Scala Street, Fitzrovia",51.519914,-0.136039,21,POINT (698690.1128155339 5711532.678439824),970,0,0,"POLYGON ((699190.1128155339 5711532.678439824, 699187.70517887 5711483.6698696595, 699180.5054557355 5711435.133278816, 699168.5829834 5711387.536101197, 699152.0525817896 5711341.3367236415, 699131.073447708 5711296.980071411, 699105.8476216851 5711254.893323314, 699076.6180422152 5711215.481797742, 699043.6662061271 5711179.125049231, 699007.3094576157 5711146.173213143, 698967.8979320436 5711116.943633673, 698925.8111839469 5711091.71780765, 698881.4545317164 5711070.738673569, 698835.2551541611 5711054.208271958, 698787.6579765419 5711042.285799623, 698739.1213856987 5711035.086076488, 698690.1128155339 5711032.678439824, 698641.1042453691 5711035.086076488, 698592.5676545259 5711042.285799623, 698544.9704769066 5711054.208271958, 698498.7710993513 5711070.738673569, 698454.4144471209 5711091.71780765, 698412.3276990241 5711116.943633673, 698372.916173452 5711146.173213143, 698336.5594249406 5711179.125049231, 698303.6075888525 5711215.481797742, 698274.3780093826 5711254.893323314, 698249.1521833597 5711296.980071411, 698228.1730492782 5711341.3367236415, 698211.6426476678 5711387.536101197, 698199.7201753323 5711435.133278816, 698192.5204521978 5711483.6698696595, 698190.1128155339 5711532.678439824, 698192.5204521978 5711581.687009988, 698199.7201753323 5711630.223600832, 698211.6426476678 5711677.820778451, 698228.1730492782 5711724.020156006, 698249.1521833597 5711768.376808237, 698274.3780093826 5711810.463556333, 698303.6075888525 5711849.875081906, 698336.5594249406 5711886.231830417, 698372.916173452 5711919.183666505, 698412.3276990241 5711948.413245975, 698454.4144471209 5711973.639071998, 698498.7710993513 5711994.618206079, 698544.9704769066 5712011.14860769, 698592.5676545259 5712023.071080025, 698641.1042453691 5712030.27080316, 698690.1128155339 5712032.678439824, 698739.1213856987 5712030.27080316, 698787.6579765419 5712023.071080025, 698835.2551541611 5712011.14860769, 698881.4545317164 5711994.618206079, 698925.8111839469 5711973.639071998, 698967.8979320436 5711948.413245975, 699007.3094576157 5711919.183666505, 699043.6662061271 5711886.231830417, 699076.6180422152 5711849.875081906, 699105.8476216851 5711810.463556333, 699131.073447708 5711768.376808237, 699152.0525817896 5711724.020156006, 699168.5829834 5711677.820778451, 699180.5054557355 5711630.223600832, 699187.70517887 5711581.687009988, 699190.1128155339 5711532.678439824))",1,1
